name,value
CM_ElfWarden.CastSingleBlast.Spread, 0.2
CM_ElfWarden.CastSingleBlast.MinInitialCooldown, 0
CM_ElfWarden.CastSingleBlast.MaxInitialCooldown, 0
CM_ElfWarden.CastSingleBlast.InterruptCooldown, 6.0 
CM_ElfWarden.CastSingleBlast.MinCooldown, 0.0
CM_ElfWarden.CastSingleBlast.MaxCooldown, 0.0
CM_ElfWarden.CastSingleBlast.Range, 2400.0
CM_ElfWarden.CastSingleBlast.CastSpeed, 2.0
CM_ElfWarden.DrainMana.InitialMinCooldown, 18.0
CM_ElfWarden.DrainMana.InitialMaxCooldown, 26.0
CM_ElfWarden.DrainMana.ChannelDuration, 6.0
CM_ElfWarden.DrainMana.ChannelTickInterval, 1.0
CM_ElfWarden.DrainMana.ManaPercentageDrainPerTick, 0.10 ; 10.0% mana drained per tick. ~60% total mana drained if not interrupted
CM_ElfWarden.DrainMana.IntCoefficientPerTick, 1.5
CM_ElfWarden.DrainMana.MinCooldown, 30.0
CM_ElfWarden.DrainMana.MaxCooldown, 30.0
CM_ElfWarden.DrainMana.InterruptCooldown, 24.0
CM_ElfWarden.DrainMana.MaxRange, 3000.0
CM_ElfWarden.DrainMana.PostAbilityPadding, 2.0
CM_ElfWarden.MeleeAutoAttack.DamageIntellectCoefficient, 0.84
CM_ElfWarden.MeleeAutoAttack.Spread, 0.2
CM_ElfWarden.MeleeAutoAttack.MinCooldown, 1.6
CM_ElfWarden.MeleeAutoAttack.MaxCooldown, 1.6
CM_ElfWarden.MeleeAutoAttack.MaxRange, 500.0
CM_ElfWarden.Fear.InitialMinCooldown, 6.0
CM_ElfWarden.Fear.InitialMaxCooldown, 21.0
CM_ElfWarden.Fear.MinPostAbilityPadding, 2.0
CM_ElfWarden.Fear.MaxPostAbilityPadding, 2.0
CM_ElfWarden.Fear.MinCooldown, 24.0
CM_ElfWarden.Fear.MaxCooldown, 24.0
CM_ElfWarden.Fear.InterruptCooldown, 16.0
CM_ElfWarden.Fear.MaxRange, 4000.0
CM_ElfWarden.Fear.CastTime, 3.0
CM_ElfWarden.Fear.Duration, 3.0
CM_ElfWarden.Fear.DamageThresholdScaler, 10.0 ; FearDamageThresholdScaler * Int * DifficulyScaling
CM_ElfWarden.Fear.Radius, 500.0
CM_ElfWarden.Fear.IntellectCoefficient, 3.39
CM_ElfLookout.AutoAttack.StrengthCoefficient, 1.64
CM_ElfLookout.AutoAttack.Spread, 0.2
CM_ElfLookout.AutoAttack.MinInitialCooldown, 0.0
CM_ElfLookout.Autoattack.MaxInitialCooldown, 0.0
CM_ElfLookout.AutoAttack.MinCooldown, 2.1
CM_ElfLookout.AutoAttack.MaxCooldown, 2.1
CM_ElfLookout.AutoAttack.Range, 3000.0
CM_ElfLookout.MeleeAutoAttack.StrengthCoefficient, 1.42
CM_ElfLookout.MeleeAutoAttack.Spread, 0.2
CM_ElfLookout.MeleeAutoAttack.InitialMinCooldown, 0.0
CM_ElfLookout.MeleeAutoAttack.InitialMaxCooldown, 0.0
CM_ElfLookout.MeleeAutoAttack.MinCooldown, 2.4
CM_ElfLookout.MeleeAutoAttack.MaxCooldown, 2.4
CM_ElfLookout.MeleeAutoAttack.Range, 500.0
CM_ElfLookout.ChannelRandomTargetAoe.StrengthCoefficient, 2.58
CM_ElfLookout.ChannelRandomTargetAoe.Spread, 0.2
CM_ElfLookout.ChannelRandomTargetAoe.InitalMinCooldown, 8.0
CM_ElfLookout.ChannelRandomTargetAoe.InitialMaxCooldown, 24.0
CM_ElfLookout.ChannelRandomTargetAoe.MinCooldown, 24.0
CM_ElfLookout.ChannelRandomTargetAoe.MaxCooldown, 24.0
CM_ElfLookout.ChannelRandomTargetAoe.InterruptCooldown, 16.0
CM_ElfLookout.ChannelRandomTargetAoe.MaxRange, 4000.0
CM_ElfLookout.ChannelRandomTargetAoe.Radius, 200.0
CM_ElfLookout.ChannelRandomTargetAoe.ChannelDuration, 6.15
CM_ElfLookout.ChannelRandomTargetAoe.ChannelTickInterval, 0.5 
CM_ElfLookout.ChannelRandomTargetAoe.TrajectoryTime, 1.5  
CM_ElfLookout.ChannelRandomTargetAoe.PostAbilityPadding, 5.0
CM_ElfLookout.ArcanePrisonDebuff.Duration, 2.0
CM_ElfLookout.ArcanePrisonDebuff.HasteReductionPerStack, 1.0
CM_ElfLookout.ArcanePrisonDebuff.MovementSpeedReductionPerStack, -0.0
CM_ElfLookout.AOESoak.SoakedStrengthCoefficient, 2.00
CM_ElfLookout.AOESoak.SoakedSpread, 0.4
CM_ElfLookout.AOESoak.UnsoakedStrengthCoefficient, 6.00
CM_ElfLookout.AOESoak.UnsoakedSpread, 0.4
CM_ElfLookout.AOESoak.SoakAreaRadius, 300.0
CM_ElfLookout.AOESoak.ProjectileTravelTime, 1.5
CM_ElfLookout.AOESoak.DetonationTime, 4.0 ; Time before it explodes!
CM_ElfLookout.AOESoak.InitialMinCooldown, 9.0
CM_ElfLookout.AOESoak.InitialMaxCooldown, 15.0
CM_ElfLookout.AOESoak.MinCooldown, 20.0
CM_ElfLookout.AOESoak.MaxCooldown, 20.0
CM_ElfLookout.AOESoak.MinSpawnRadius, 500.0 ; Radius around a player how far from the player it should spawn
CM_ElfLookout.AOESoak.MaxSpawnRadius, 800.0 ; Radius around a player how far from the player it should spawn
CM_ElfLookout.AOESoak.SoakedKnockbackImpulse, 1000.0
