name,value
DR_BossGateWizard.MeleeAutoAttack.MaxRange, 500.0
DR_BossGateWizard.MeleeAutoAttack.Cooldown, 2.25
DR_BossGateWizard.Football.InitialCooldown, 8			; MOAR'GORE - SIPHON BLOOD - SPAWN BLOOD ORBS
DR_BossGateWizard.Football.Cooldown, 10.0
DR_BossGateWizard.Football.CastTime, 2.0
DR_BossGateWizard.Football.SpawnCount, 3.0
DR_BossGateWizard.Football.EnragedSpawnCount, 5.0
DR_BossGateWizard.Football.EnrageHealthThreshold, 0.333
DR_BossGateWizard.Football.Projectile.Speed, 300.0
DR_BossGateWizard.Football.Projectile.Radius, 50.0
DR_BossGateWizard.Football.Projectile.Lifetime, 240.0			    ; in seconds
DR_BossGateWizard.Football.Projectile.SpeedBonusOnPlayerHit, 1.0
DR_BossGateWizard.Football.Projectile.SpawnTime, 0.25
DR_BossGateWizard.Football.Debuff.Duration, 20.0 ; 
DR_BossGateWizard.Football.Debuff.IncreasedDamageTaken, 1.10		
DR_BossGateWizard.Football.Debuff.StrengthCoefficient, 0.67		;disabled - dot
DR_BossGateWizard.Football.Debuff.Period, 2.0					;disabled - dot
DR_BossGateWizard.Football.HitPlayer.StrengthCoefficient, 2.45
DR_BossGateWizard.Football.HitBoss.StrengthCoefficient, 4.20
DR_BossGateWizard.Football.HitBoss.Radius, 2900.0
DR_BossGateWizard.TankDot.InitialCooldown, 12.0		; MOAR'GORE - HEMORRHAGE
DR_BossGateWizard.TankDot.Cooldown, 25.0
DR_BossGateWizard.TankDot.MaxRange, 500.00
DR_BossGateWizard.TankDot.Bleed.StrengthCoefficient, 1.75
DR_BossGateWizard.TankDot.Bleed.TickInterval, 1.5
DR_BossGateWizard.TankDot.Bleed.Duration, 8.0
DR_BossGateWizard.FirePillar.InitialCooldown, 22.0		; MOAR'GORE - DEMONIC PYRE
DR_BossGateWizard.FirePillar.Cooldown, 40.0
DR_BossGateWizard.FirePillar.CastTime, 4.0
DR_BossGateWizard.FirePillar.Radius, 2600.0
DR_BossGateWizard.FirePillar.IntCoefficient, 5.53
DR_BossGateWizard.FirePillar.Duration, 6.0
DR_BossGateWizard.FirePillar.MinSpawnRadius, 1800.0
DR_BossGateWizard.FirePillar.MaxSpawnRadius, 2000.0
DR_BossGateWizard.FirePillar.Debuff.IntCoefficient, 1.59
DR_BossGateWizard.FirePillar.Debuff.TickInterval, 1.0
DR_BossGateWizard.FirePillar.PostAbilityPadding, 2.0
DR_BossGateWizard.VoiceLine.First.TriggerHealthPercent, 0.5
DR_BossGateWizard.VoiceLine.Second.TriggerHealthPercent, 0.05
DR_BossGateWizard.FootballFromPlayer.InitialMinCooldown, 12				; MOAR'GORE - DISABLED
DR_BossGateWizard.FootballFromPlayer.InitialMaxCooldown, 12
DR_BossGateWizard.FootballFromPlayer.MinCooldown, 20.0
DR_BossGateWizard.FootballFromPlayer.MaxCooldown, 22.0
DR_BossGateWizard.FootballFromPlayer.MaxRange, 4000.0
DR_BossGateWizard.FootballFromPlayer.CastTime, 2.0
DR_BossGateWizard.FootballFromPlayer.Stun.Duration, 3.0
; For now, the football projectile uses the same stats as from the football ability (DR_BossGateWizard.Football.Projectile.*).
DR_BossGateWizard.AbsorbDamagePulse.TickInterval, 2.0					; MOAR'GORE - DISABLED
DR_BossGateWizard.AbsorbDamagePulse.IntCoefficient, 0.6
DR_BossGateWizard.AbsorbDamagePulse.Spread, 0.4
DR_BossGateWizard.AbsorbDamagePulse.Radius, 3000.0
DR_BossGateWizard.StackingBossBuff.ApplicationInterval, 5.0				; MOAR'GORE - DISABLED
DR_BossGateWizard.StackingBossBuff.DamageReduction, 0.99 ;
DR_BossGateWizard.StackingBossBuff.DamageScale, 1.02 ;
DR_BossGateWizard.RandomSingleTargetDebuff.InitialMinCooldown, 10.0		; MOAR'GORE - DISABLED
DR_BossGateWizard.RandomSingleTargetDebuff.InitialMaxCooldown, 10.0
DR_BossGateWizard.RandomSingleTargetDebuff.MinCooldown, 25.0
DR_BossGateWizard.RandomSingleTargetDebuff.MaxCooldown, 25.0
DR_BossGateWizard.RandomSingleTargetDebuff.StrengthCoefficient, 0.24
DR_BossGateWizard.RandomSingleTargetDebuff.Spread, 0.4
DR_BossGateWizard.RandomSingleTargetDebuff.ApplicationInterval, 2.0
DR_BossGateWizard.RandomSingleTargetDebuff.Duration, 8.0
DR_BossGateWizard.SafeDangerZones.SequenceDuration, 5.0					; MOAR'GORE - DISABLED
DR_BossGateWizard.SafeDangerZones.DelayBetweenSequences, 1.0
DR_BossGateWizard.SafeDangerZones.IntellectCoefficient, 0.24
DR_BossGateWizard.SafeDangerZones.TickRate, 0.5
DR_BossSummonedDemon.MeleeAutoAttack.MaxRange, 700.0
DR_BossSummonedDemon.MeleeAutoAttack.MinCooldown, 3.0
DR_BossSummonedDemon.MeleeAutoAttack.MaxCooldown, 3.0
DR_BossSummonedDemon.MeleeAutoAttack.StrengthCoefficient, 2.50
DR_BossSummonedDemon.MeleeAutoAttack.Spread, 0.2
DR_BossSummonedDemon.ChanneledHellfire.InitialMinCooldown, 30.0
DR_BossSummonedDemon.ChanneledHellfire.InitialMaxCooldown, 30.0
DR_BossSummonedDemon.ChanneledHellfire.MinCooldown, 60.0
DR_BossSummonedDemon.ChanneledHellfire.MaxCooldown, 60.0
DR_BossSummonedDemon.ChanneledHellfire.EnragedMinCooldown, 60.0
DR_BossSummonedDemon.ChanneledHellfire.EnragedMaxCooldown, 60.0
DR_BossSummonedDemon.ChanneledHellfire.ChannelDuration, 20.0
DR_BossSummonedDemon.ChanneledHellfire.ChannelTickInterval, 0.75
DR_BossSummonedDemon.ChanneledHellfire.Absorb.MaxHealthPercent, 4.0
DR_BossSummonedDemon.ChanneledHellfire.Damage.Radius, 3300.0
DR_BossSummonedDemon.ChanneledHellfire.Damage.StrengthCoefficient, 1.0
DR_BossSummonedDemon.ChanneledHellfire.Damage.Spread, 0.4
DR_BossSummonedDemon.ChanneledHellfire.FriendlyBuff.DamageBuffPercentPerTick, 1.05
DR_BossSummonedDemon.ChanneledHellfire.FriendlyBuff.Radius, 3300.0
DR_BossSummonedDemon.ChanneledHellfire.Heal.IntCoefficient, 5.0
DR_BossSummonedDemon.ChanneledHellfire.Heal.Spread, 0.4
DR_BossSummonedDemon.LeapSlam.InitialMinCooldown, 8.0
DR_BossSummonedDemon.LeapSlam.InitialMaxCooldown, 8.0
DR_BossSummonedDemon.LeapSlam.MinCooldown, 24.0
DR_BossSummonedDemon.LeapSlam.MaxCooldown, 24.0
DR_BossSummonedDemon.LeapSlam.EnragedMinCooldown, 18.0
DR_BossSummonedDemon.LeapSlam.EnragedMaxCooldown, 18.0
DR_BossSummonedDemon.LeapSlam.MaxRange, 10000.0
DR_BossSummonedDemon.LeapSlam.CastTime, 2.5
DR_BossSummonedDemon.LeapSlam.StartTrackingDelay, 0.05
