name,value
FK_ElfGoon.AutoAttack.Cooldown, 2.10
FK_ElfGoon.AutoAttack.MaxRange, 400.0
FK_ElfRanger.MeleeAutoAttack.Cooldown, 1.6
FK_ElfRanger.MeleeAutoAttack.MaxRange, 500.0
FK_ElfRanger.MeleeAutoAttack.StrengthCoefficient, 0.84
FK_ElfRanger.AutoAttack.DamageIntellectCoefficient, 1.44
FK_ElfRanger.AutoAttack.Cooldown, 2.10
FK_ElfRanger.AutoAttack.MaxRange, 3000.0
FK_ElfRanger.RapidFire.ConeLength, 1600.0
FK_ElfRanger.RapidFire.ConeAngle, 45.0
FK_ElfRanger.RapidFire.CastingDuration, 0.0
FK_ElfRanger.RapidFire.InitialMinCooldown, 4.0
FK_ElfRanger.RapidFire.InitialMaxCooldown, 12.0
FK_ElfRanger.RapidFire.Cooldown, 18.0
FK_ElfRanger.RapidFire.CCcooldown, 12.0
FK_ElfRanger.RapidFire.PreCastDuration, 1.5
FK_ElfRanger.RapidFire.ChannelDuration, 3.275
FK_ElfRanger.RapidFire.ChannelingTickInterval, 0.3125
FK_ElfRanger.RapidFire.DamageIntellectCoefficient, 0.92
FK_ElfRanger.RapidFire.MaxRange, 1400.0
FK_ElfRanger.IceTrap.MinSpawnRadius, 100.0
FK_ElfRanger.IceTrap.MaxSpawnRadius, 1000.0
FK_ElfRanger.IceTrap.InitialMinCooldown, 15.0
FK_ElfRanger.IceTrap.InitialMaxCooldown, 25.0
FK_ElfRanger.IceTrap.Cooldown, 30.0
FK_ElfRanger.IceTrap.DamageIntellectCoefficient, 3.12
FK_ElfRanger.IceTrap.Radius, 150.0 ; Radius of the collision (sphere) 
FK_ElfRanger.IceTrap.Spread, 0.2
FK_ElfRanger.IceTrap.TrapDuration, 20.0 ; Duration of the actual trap
FK_ElfRanger.IceTrap.RootDuration, 3.0 ; Duration of the rooted effect and not of the actual trap
FK_ElfRanger.IceTrap.ActivationDelay, 2.5 ; A delay between Spawn -> register overlap events
FK_ElfRanger.IceTrap.ProjectileAirtime, 1.5
FK_ElfRanger.IceTrap.MaxRange, 2000.0
FK_ElfDuelist.AutoAttack.DamageCoefficient, 1.71
FK_ElfDuelist.AutoAttack.Cooldown, 2.50
FK_ElfDuelist.AutoAttack.MaxRange, 500.0 
FK_ElfDuelist.SpinningIceSwordStorm.PreCastDuration, 1.50
FK_ElfDuelist.SpinningIceSwordStorm.ChannelDuration, 3.50
FK_ElfDuelist.SpinningIceSwordStorm.ChannelingTickInterval, 0.5
FK_ElfDuelist.SpinningIceSwordStorm.InitialMinCooldown, 6.0
FK_ElfDuelist.SpinningIceSwordStorm.InitialMaxCooldown, 20.0
FK_ElfDuelist.SpinningIceSwordStorm.Cooldown, 25.0
FK_ElfDuelist.SpinningIceSwordStorm.CCcooldown, 12.0
FK_ElfDuelist.SpinningIceSwordStorm.DamageCoefficient, 1.80
FK_ElfDuelist.SpinningIceSwordStorm.FreezeDuration, 4.0
FK_ElfDuelist.SpinningIceSwordStorm.MoveSpeedMultiplier, 0.25
FK_ElfDuelist.SpinningIceSwordStorm.Radius, 350.0
FK_ElfDuelist.SpinningIceSwordStorm.MaxRange, 500.0
FK_ElfDuelist.SpinningIceSwordStorm.SpinProximityTolerance, 200.0
FK_ElfDuelist.IceBreaker.CastingDuration, 1.5
FK_ElfDuelist.IceBreaker.InitialMinCooldown, 12.0
FK_ElfDuelist.IceBreaker.InitialMaxCooldown, 24.0
FK_ElfDuelist.IceBreaker.Cooldown, 25.0
FK_ElfDuelist.IceBreaker.CCcooldown, 12.0
FK_ElfDuelist.IceBreaker.Radius, 350.0
FK_ElfDuelist.IceBreaker.DamageCoefficient, 4.05
FK_ElfDuelist.IceBreaker.KnockbackStrength, 1000.0
FK_ElfDuelist.IceBreaker.BonusDamage, 1.0 ; Damage * thisValue will be applied to targets that are frozeen from SpinningIceSword. Tag in damage GE
FK_ElfDuelist.IceBreaker.LeapSpeed, 3500.0
FK_ElfDuelist.IceBreaker.MaxRange, 3000.0
FK_ElfDuelist.EnragedBuff.HealthPercentageThreshold, 0.3; 0.15 = activates at 15% and less health left
FK_ElfDuelist.EnragedBuff.HasteBonus, 0.30; GE_FK_Elf_Duelist_EnragedBuff
FK_ElfDuelist.EnragedBuff.SizeScale, 1.20
FK_ElfGuard.AutoAttack.DamageIntellectCoefficient, 1.49
FK_ElfGuard.AutoAttack.Cooldown, 2.3
FK_ElfGuard.AutoAttack.MaxRange, 500.0
FK_ElfGuard.BarrierOfProtection.CastingDuration, 3.0        ; DISABLED
FK_ElfGuard.BarrierOfProtection.MaxHealthAbsorb, 0.25       ; DISABLED
FK_ElfGuard.BarrierOfProtection.Radius, 1200                ; DISABLED
FK_ElfGuard.BarrierOfProtection.InitialMinCooldown, 5.0     ; DISABLED
FK_ElfGuard.BarrierOfProtection.InitialMaxCooldown, 9.0    	; DISABLED
FK_ElfGuard.BarrierOfProtection.MinCooldown, 18.0    		; DISABLED
FK_ElfGuard.BarrierOfProtection.MaxCooldown, 24.0    		; DISABLED
FK_ElfGuard.BarrierOfProtection.MinAbilityPadding, 0.5    	; DISABLED
FK_ElfGuard.BarrierOfProtection.MaxAbilityPadding, 0.6    	; DISABLED
FK_ElfGuard.BarrierOfProtection.MinCancelCooldown, 16.0    	; DISABLED
FK_ElfGuard.BarrierOfProtection.MaxCancelCooldown, 20.0    	; DISABLED
FK_ElfGuard.ShatteringBarrier.CastingDuration, 3.0
FK_ElfGuard.ShatteringBarrier.MaxHealthAbsorb, 0.30
FK_ElfGuard.ShatteringBarrier.MaxRange, 3000.0
FK_ElfGuard.ShatteringBarrier.AoeDamageRadius, 600.0
FK_ElfGuard.ShatteringBarrier.AoeDamageTickPeriod, 1.0
FK_ElfGuard.ShatteringBarrier.AoeDamageIntellectCoefficient, 0.832
FK_ElfGuard.ShatteringBarrier.AoeDamageSpread, 0.2
FK_ElfGuard.ShatteringBarrier.InitialMinCooldown, 5.0
FK_ElfGuard.ShatteringBarrier.InitialMaxCooldown, 15.0
FK_ElfGuard.ShatteringBarrier.Cooldown, 35.0
FK_ElfGuard.ShatteringBarrier.PostAbilityPadding, 0.5
FK_ElfGuard.ShatteringBarrier.InterruptCooldown, 16.0
FK_ElfGuard.ShacklesOfIce.ChannelingTickInterval, 1.0 	; DISABLED
FK_ElfGuard.ShacklesOfIce.ChannelDuration, 5.15 		; DISABLED
FK_ElfGuard.ShacklesOfIce.InitialMinCooldown, 2.0 		; DISABLED
FK_ElfGuard.ShacklesOfIce.InitialMaxCooldown, 10.0 		; DISABLED
FK_ElfGuard.ShacklesOfIce.MinCooldown, 15.0				; DISABLED
FK_ElfGuard.ShacklesOfIce.MaxCooldown, 25.0				; DISABLED
FK_ElfGuard.ShacklesOfIce.SlowPercentage, -0.40 ; 45% decrease (influenced by tenacity)
FK_ElfGuard.ShacklesOfIce.MinAbilityPadding, 1.0		; DISABLED
FK_ElfGuard.ShacklesOfIce.MaxAbilityPadding, 2.0		; DISABLED
FK_IceGolem.AutoAttack.DamageStrengthCoefficient, 1.95
FK_IceGolem.AutoAttack.Cooldown, 2.5
FK_IceGolem.AutoAttack.MaxRange, 500.0
FK_IceGolem.SpikeAOE.InitialMinCooldown, 5.0
FK_IceGolem.SpikeAOE.InitialMaxCooldown, 12.0
FK_IceGolem.SpikeAOE.Cooldown, 18.0
FK_IceGolem.SpikeAOE.PopOffset, 0.15 ; offset between spikes that pop after eachother (delay between pops); Can leave at zero if they should happen at the same time 
FK_IceGolem.SpikeAOE.NumSpikes, 4 ; TODO: Not implemented with robin hood! wait for min/max targets to be implemented  
FK_IceGolem.SpikeAOE.KnockbackForce, 1200.0
FK_IceGolem.SpikeAOE.MaxTargetAcquisitionRange, 3000.0
FK_IceGolem.SpikeAOE.AOERadius, 200.0
FK_IceGolem.SpikeAOE.DamageStrengthCoefficient, 7.42
FK_IceGolem.SpikeAOE.PopBaseDelay, 2.0 ; BaseDelay before the first spike pop
FK_IceGolem.SpikeAOE.InterruptCooldown, 12.0
FK_IceGolem.OnDeathSpawnMobs.NumShardlingsToSpawn, 3.0 
FK_IceGolem.OnDeathSpawnMobs.ProjectileFlyTime, 0.5
FK_ElfShardling.AutoAttack.Cooldown, 1.5
FK_ElfShardling.AutoAttack.StrengthCoefficient, 0.63
FK_ElfShardling.AutoAttack.MaxRange, 400
FK_ElfShardling.IcePool.BaseDamage, 200.0 ; Ability has been cut 
FK_ElfShardling.IcePool.Spread, 0.4
FK_ElfShardling.IcePool.Period, 1.0
FK_ElfShardling.IcePool.LifeTime, 30.0
FK_ElfShardling.IcePool.MovementSpeedMultiplier, 0.8
FK_ElfShardling.DeathExplosion.Range, 4000
FK_ElfShardling.DeathExplosion.Debuff.IntellectCoefficientPerTick, 0.25
FK_ElfShardling.DeathExplosion.Debuff.Spread, 0.2
FK_ElfShardling.DeathExplosion.Debuff.Duration, 5.0
FK_ElfShardling.DeathExplosion.Debuff.TickPeriod, 1.0
FK_ElfShardling.DeathExplosion.Debuff.MovementSpeedMultiplier, 0.9 ;  10% per stack
FK_ElfCleric.AutoAttackMelee.DamageStrengthCoefficient, 0.81
FK_ElfCleric.AutoAttackMelee.MaxRange, 500
FK_ElfCleric.AutoAttackMelee.Cooldown, 1.5
FK_ElfCleric.SoulBolt.DamageIntellectCoefficient, 3.19
FK_ElfCleric.SoulBolt.CastingDuration, 2.0
FK_ElfCleric.SoulBolt.MaxRange, 3000.0
FK_ElfCleric.SoulBolt.Cooldown, 0.0
FK_ElfCleric.SoulBolt.InterruptCooldown, 6.0
FK_ElfCleric.Reluctance.InitialMinCooldown, 1.0
FK_ElfCleric.Reluctance.InitialMaxCooldown, 1.0
FK_ElfCleric.Reluctance.MinCooldown, 15.0
FK_ElfCleric.Reluctance.MaxCooldown, 15.0
FK_ElfCleric.Reluctance.HealDebuff, 0.7 ; 30% decrease
FK_ElfCleric.Reluctance.Radius, 1000.0 
FK_ElfCleric.DrainLife.PreCastTime, 2.0
FK_ElfCleric.DrainLife.MaxRange, 3000.0
FK_ElfCleric.DrainLife.ChannelingTickInterval, 1.0
FK_ElfCleric.DrainLife.ChannelDuration, 8.0
FK_ElfCleric.DrainLife.ChannelRadius, 2500.0
FK_ElfCleric.DrainLife.InitialMinCooldown, 8.0
FK_ElfCleric.DrainLife.InitialMaxCooldown, 15.0
FK_ElfCleric.DrainLife.Cooldown, 24.0
FK_ElfCleric.DrainLife.InterruptCooldown, 16.0
FK_ElfCleric.DrainLife.DamageIntellectCoefficient, 1.76
FK_ElfCleric.DrainLife.HealPercentage, 0.5 ; 50% of the damage dealt as heal	;No longer used    Just using passive now I think
FK_ElfCleric.Redemption.InitialMinCooldown, 10.0	;Freezing Blood Dot
FK_ElfCleric.Redemption.InitialMaxCooldown, 20.0
FK_ElfCleric.Redemption.Cooldown, 20.0
FK_ElfCleric.Redemption.DoTDuration, 14.95
FK_ElfCleric.Redemption.DoTPeriod, 1.5
FK_ElfCleric.Redemption.DoTDamageIntellectCoefficient, 1.65
FK_ElfCleric.Redemption.BurstDamageIntellectCoefficient, 3.40
FK_ElfCleric.Redemption.MaxRange, 3000.0
FK_ElfCleric.LifeLeech.LeechFraction, 0.35
FK_BossFreezingWaterLord.AutoAttack.StrengthCoefficient, 6.46
FK_BossFreezingWaterLord.AutoAttack.Spread, 0.2
FK_BossFreezingWaterLord.AutoAttack.Cooldown, 2.8
FK_BossFreezingWaterLord.AutoAttack.MaxRange, 700.0
FK_BossFreezingWaterLord.GreaterWaterNova.InitialCooldown, 22.0		; do not remove USED for FreezingConeDebuff
FK_BossFreezingWaterLord.GreaterWaterNova.Cooldown, 22.0
FK_BossFreezingWaterLord.GreaterWaterNova.CastingDuration, 1.5
FK_BossFreezingWaterLord.GreaterWaterNova.Dot.Duration, 12.0
FK_BossFreezingWaterLord.GreaterWaterNova.Dot.Period, 1.5
FK_BossFreezingWaterLord.GreaterWaterNova.Dot.IntellectCoefficient, 0.40
FK_BossFreezingWaterLord.GreaterWaterNova.Dot.DamageSpread, 0.2
FK_BossFreezingWaterLord.GreaterWaterNova.Slow.Duration, 6.0
FK_BossFreezingWaterLord.GreaterWaterNova.Freeze.Duration, 6.0
FK_BossFreezingWaterLord.GreaterWaterNova.Radius, 4000.0
FK_BossFreezingWaterLord.FreezingCone.InitialCooldown, 30.0
FK_BossFreezingWaterLord.FreezingCone.Cooldown, 30.0
FK_BossFreezingWaterLord.FreezingCone.ConeLength, 3000.0
FK_BossFreezingWaterLord.FreezingCone.ConeAngle, 45.0      ; Degrees 
FK_BossFreezingWaterLord.FreezingCone.CastingDuration, 4.0
FK_BossFreezingWaterLord.FreezingCone.IntellectCoefficient, 3.33
FK_BossFreezingWaterLord.FreezingCone.Spread, 0.2
FK_BossFreezingWaterLord.FreezingCone.WetDamageMultiplier, 1.0
FK_BossFreezingWaterLord.FreezingCone.FreezeDebuff.Duration, 6.0
FK_BossFreezingWaterLord.FreezingCone.MaxRange, 3000.0
FK_BossFreezingWaterLord.ExplosiveOrb.InitialCooldown, 8.0
FK_BossFreezingWaterLord.ExplosiveOrb.Cooldown, 15.0
FK_BossFreezingWaterLord.ExplosiveOrb.SpawnDelay, 4.0 ; How long it should take from choosing a target to starting the spawning of the orb
FK_BossFreezingWaterLord.ExplosiveOrb.ActivationDelay, 2.0 ; How long the spawning of the orb takes and when it should start move towards its target
FK_BossFreezingWaterLord.ExplosiveOrb.OrbSpeed, 100.0
FK_BossFreezingWaterLord.ExplosiveOrb.OrbSpeedIncrement, 100.0
FK_BossFreezingWaterLord.ExplosiveOrb.OrbScaleIncrementMultiplier, 0.40
FK_BossFreezingWaterLord.ExplosiveOrb.ExplosionIntellectCoefficient, 9.02 ;
FK_BossFreezingWaterLord.ExplosiveOrb.Spread, 0.2
FK_BossFreezingWaterLord.ExplosiveOrb.MaxRange, 3000.0
FK_BossFreezingWaterLord.ExplosiveOrb.KnockbackDistance, 1000.0
FK_BossFreezingWaterLord.ExplosiveOrb.KnockbackDuration, 1.0
FK_BossFreezingWaterLord.ExplosiveOrb.OrbExplosionRadius, 8000.0
FK_BossFreezingWaterLord.ExplosiveOrb.PeriodicAoeDamage.Range, 500.0
