name,value
Ink.SpiritProc.ResourceRefund.FlatSpiritPointGain, 1.0
Ink.AutoAttackSwingTimerDuration, 4.90							;was 480
Ink.HitWindowDuration, 1.0
Ink.Talent.IncreasedAttackSpeed.SpeedIncrease, 1.50				;was 50%
Ink.Talent.AutoAttackBuffDurationalStatBonus.StatIncrease, 0.02		;This is the active effect on attackspeedincrease talent
Ink.Talent.AutoAttackBuffDurationalStatBonus.Duration, 20.0
Ink.Talent.AutoAttackBuffDurationalStatBonus.MaxStacks, 5.0
Ink.DodgeChanceIncreaseForMeleeAttacks, 0.03	; This is an additive operation
Ink.Expertise.ExpertiseDivider, 3.0	; (Expertise % / ExpertiseDivider)% * Stacks
Ink.Expertise.LightningDamageIncrease.ExpertiseMultiplier, 1.0
Ink.Rage.MaxRageMultiplier, 20.0					; This is multiplied with his strength and will result in his total amount of max rage
Ink.Rage.RageIncreaseBaseline, 14				; The rage will increase by RageIncreaseBaseline * (Damage Done / 100) and same for Damage Taken
Ink.Rage.OutOfCombat.TickInterval, 1.0
Ink.Rage.OutOfCombat.AmountToSpendPerTick, 0.02		; Percentage of Max Rage
Ink.MeleeAutoAttack.StrengthCoefficient, 1.24
Ink.MeleeAutoAttack.ResourceGain, 0.01	; In percentage of max
Ink.MeleeAutoAttack.Spread, 0.1
Ink.MeleeAutoAttack.VisualHitDelay, 0.6	; AutoAttackBuff uses the same
Ink.AutoAttackBuff.StrengthCoefficient, 4.62
Ink.AutoAttackBuff.Weak.DamageMultiplier, 0.2
Ink.AutoAttackBuff.Weak.ResourceGainMultiplier, 0.2
Ink.AutoAttackBuff.Cleave.DamageMultiplier, 0.20
Ink.AutoAttackBuff.Cleave.PieMaxRadius, 800.0	; Total length
Ink.AutoAttackBuff.Cleave.PieMinRadius, 10.0	; Offset from character position. VFX will also start from here
Ink.AutoAttackBuff.Cleave.PieAngleWidth, 270.0
Ink.AutoAttackBuff.Cleave.TargetThresholdForDamageScale, 33.0
Ink.AutoAttackBuff.ResourceGain, 0.07	; In percentage of max
Ink.AutoAttackBuff.Cost, 0.0
Ink.AutoAttackBuff.VisualDelay, 0.6
Ink.AutoAttackBuff.Cooldown, 9.0
Ink.AutoAttackBuff.Lightning.StrengthCoefficient, 1.617
Ink.AutoAttackBuff.Lightning.TargetThresholdForDamageScale, 8.0
Ink.AutoAttackBuff.Lightning.VisualDelay, 0.25	; Added upon the original visual delay
Ink.AutoAttackBuff.SwingTimerPauseDuration, 0.75
Ink.AutoAttackBuff.Talent.GainToIncreasedDamage.DamageIncreasePerStack, 0.05
Ink.AutoAttackBuff.Talent.GainToIncreasedDamage.PassiveCritStrikePowerScaler, 1.10
Ink.AutoAttackBuff.Talent.GainToIncreasedDamage.MaxStacks, 5.0
Ink.MoveToLocationAoeDamage.MaxRangeHorizontal, 3000.0
Ink.MoveToLocationAoeDamage.MaxRangeUp, 1000.0
Ink.MoveToLocationAoeDamage.MaxRangeDown, 5000.0
Ink.MoveToLocationAoeDamage.StrengthCoefficient, 3.99
Ink.MoveToLocationAoeDamage.Spread, 0.1
Ink.MoveToLocationAoeDamage.DamageRadius, 500.0
Ink.MoveToLocationAoeDamage.TargetThresholdForDamageScale, 8.0
Ink.MoveToLocationAoeDamage.MoveDuration, 0.25
Ink.MoveToLocationAoeDamage.Cooldown, 20.0
Ink.MoveToLocationAoeDamage.ResourceGain, 0.25
Ink.MoveToLocationAoeDamage.VisualHitDelay, 0.03
Ink.MoveToLocationAoeDamage.Talent.TargetExtraInkDamage.IncomingDamageScaler, 1.15
Ink.MoveToLocationAoeDamage.Talent.TargetExtraInkDamage.Duration, 3.0
Ink.MoveToLocationAoeDamage.Talent.ProcCostReductionBuff.Chance, 0.50
Ink.MoveToLocationAoeDamage.Talent.ReducedCooldownIfNoHit.CooldownReductionInSeconds, 14.0
Ink.MoveToLocationAoeDamage.Talent.ReducedCooldownIfNoHit.MovementSpeedBuff.MovementSpeedScaler, 1.50
Ink.MoveToLocationAoeDamage.Talent.ReducedCooldownIfNoHit.MovementSpeedBuff.Duration, 4.0
Ink.MoveToLocationAoeDamage.Talent.IncreasedCriticalChance.AddedCrit, 0.20
Ink.HeavySingleTargetAttack.StrengthCoefficient, 8.18
Ink.HeavySingleTargetAttack.Spread, 0.1
Ink.HeavySingleTargetAttack.VisualHitDelay, 0.52
Ink.HeavySingleTargetAttack.Cost, 0.50	; Percentage of Max Rage
Ink.HeavySingleTargetAttack.Cooldown, 1.5
Ink.HeavySingleTargetAttack.Lightning.StrengthCoefficient, 2.863
Ink.HeavySingleTargetAttack.Lightning.Spread, 0.20
Ink.HeavySingleTargetAttack.Lightning.VisualHitDelay, 0.35	; Added upon the original visual delay
Ink.HeavySingleTargetAttack.Talent.IncreasedDamageScaler, 1.20
Ink.HeavySingleTargetAttack.Talent.ProcAddedCritChance.Chance, 0.30
Ink.HeavySingleTargetAttack.Talent.ProcAddedCritChance.AddedCritChance, 1.0
Ink.HeavySingleTargetAttack.SwingTimerPauseDuration, 0.75
Ink.AoeAttack.StrengthCoefficient, 1.1047
Ink.AoeAttack.Spread, 0.1
Ink.AoeAttack.Radius, 700.0
Ink.AoeAttack.TargetThresholdForDamageScale, 8.0
Ink.AoeAttack.VisualHitDelay, 0.00	; Leaving this as 0 means that the hit will be registret immediately on the first tick
Ink.AoeAttack.VisualEndDelay, 0.3
Ink.AoeAttack.Cost, 0.26				; Percentage of Max Rage
Ink.AoeAttack.CostPerTick, 0.08		; Percentage of Max Rage
Ink.AoeAttack.TickInterval, 0.70
Ink.AoeAttack.MaxAttacks, 4.0			; (Activation + ticks)
Ink.AoeAttack.MaxRageToSpend, 0.50	; Percentage of Max Rage
Ink.AoeAttack.Cooldown, 1.5
Ink.AoeAttack.Lightning.StrengthCoefficient, 0.3866
Ink.AoeAttack.Lightning.Spread, 0.20
Ink.AoeAttack.Lightning.VisualDelay, 0.08	; Added upon the original visual delay
Ink.AoeAttack.Lightning.TargetThresholdForDamageScale, 5.0
Ink.AoeAttack.Talent.ReducedIncomingDamage.IncomingDamageMultiplier, 0.80	;talent disabled
Ink.AoeAttack.Talent.ReducedIncomingDamage.IncreasedStatBonus, 0.20			;talent disabled	
Ink.AoeAttack.Talent.ReducedIncomingDamage.PassiveReduceIncomingAoeDamage, 0.10
Ink.AoeAttack.Talent.ReducedDurationIncreasedDamageCost.CostMultiplier, 2.0	;not used
Ink.AoeAttack.Talent.ReducedDurationIncreasedDamageCost.DamageMultiplier, 1.00	;not used
Ink.AoeAttack.Talent.ReducedDurationIncreasedDamageCost.DurationMultiplier, 0.5	;not used
Ink.AoeAttack.Talent.ReducedDurationIncreasedDamageCost.DamageExponential, 1.35
Ink.AoeAttack.Talent.ReducedDurationIncreasedDamageCost.MaxNumberOfTicks, 3.15
Ink.SecondChanceSingleTargetAttack.StrengthCoefficient, 1.04
Ink.SecondChanceSingleTargetAttack.Spread, 0.1
Ink.SecondChanceSingleTargetAttack.VisualHitDelay, 0.23
Ink.SecondChanceSingleTargetAttack.Cost, 0.0
Ink.SecondChanceSingleTargetAttack.Cooldown, 9.0
Ink.SecondChanceSingleTargetAttack.Proc.DamageMultiplier, 5.0
Ink.SecondChanceSingleTargetAttack.ResourceGain, 0.06	; In percentage of max
Ink.SecondChanceSingleTargetAttack.Talent.IncreasedCritChance.Increase, 0.50	; Additive
Ink.SecondChanceSingleTargetAttack.Talent.PassiveIncreasedDamageMultiplier.Increase, 1.00	; 
Ink.SecondChanceSingleTargetAttack.Talent.CritBleed.DamageToDotScaler, 3.00
Ink.SecondChanceSingleTargetAttack.Talent.CritBleed.DotDuration, 24.0
Ink.SecondChanceSingleTargetAttack.Talent.CritBleed.DotTickPeriod, 1.5
Ink.SecondChanceSingleTargetAttack.Talent.CritAoe.DirectDamageToDamageScaler, 0.30
Ink.SecondChanceSingleTargetAttack.Talent.CritAoe.TargetThresholdForDamageScale, 5.0
Ink.CleaveAttack.StrengthCoefficient, 1.30
Ink.CleaveAttack.Spread, 0.1
Ink.CleaveAttack.Radius, 500.0
Ink.CleaveAttack.TargetThresholdForDamageScale, 3.0
Ink.CleaveAttack.VisualHitDelay, 0.15
Ink.CleaveAttack.Cooldown, 1.5
Ink.CleaveAttack.Cost, 0.0
Ink.CleaveAttack.ResourceGain, 0.03	; In percentage of max
Ink.CleaveAttack.DodgeChanceIncrease.MinNumOfTargets, 1.0	; The dodge chance increase is at max at and before this value
