name,value
Sune.SpiritProc.ResourceRefund.FlatSpiritPointGain, 1.0
Sune.AoeMeleeDamageBoostAndManaRefundDebuff.Duration, 20.0
Sune.AoeMeleeDamageBoostAndManaRefundDebuff.StackCap, 10.0
Sune.AoeMeleeDamageBoostAndManaRefundDebuff.ManaRefundBase, 100.0
Sune.AoeMeleeDamageBoostAndManaRefundDebuff.ManaRefundPerAdditionalStack, 50.0
Sune.AoeMeleeDamageBoostAndManaRefundDebuff.AoeMeleeBonusDamagePerStack, 0.05
Sune.TargetedCastedHealOrDamage.OnEnemyDebuff.Duration," 12.0 ; ""Sunstruck"""
Sune.Talent.ReducedIncomingMagicDamage.IncomingMagicDamageMultiplier, 0.9
Sune.Talent.ParryCounterAttack.DamageStrengthCoefficient, 1.16
Sune.Talent.ParryCounterAttack.ManaGain, 0.005
Sune.Talent.ParryCounterAttack.Buff.Duration, 20.0
Sune.Talent.ParryCounterAttack.Buff.StackCap, 20.0
Sune.Talent.ParryCounterAttack.Buff.AdditionalSpiritPerStack, 0.005
Sune.Talent.DeathPrevention.Cooldown, 300.0
Sune.Talent.LowHealthDamageReduction.HealthThreshold, 0.4
Sune.Talent.LowHealthDamageReduction.IncomingDamageMultiplier, 0.8
Sune.Talent.IncreasedParryChance.Increase, 0.10
Sune.Talent.StackingBuffToProc.NumberOfStacks, 5.0	;incandescent
Sune.AutoAttackParryDebuff.Duration, 8.0
Sune.AutoAttackParryDebuff.ParryChanceIncrease, 0.20
Sune.OverhealToAoeDamage.OverhealingToDamageScaler, 0.05
Sune.OverhealToAoeDamage.AoeRadius, 1000.0
Sune.OverhealToAoeDamage.AoeHeight, 300.0
Sune.OverhealToAoeDamage.MaxNumTargets, 20.0
Sune.OverhealToAoeDamage.DamageScalingTargetCountThreshold, 5.0
Sune.OverhealToAoeDamage.ApplicationDelay, 0.5
Sune.OverhealToAoeDamage.VisualDelay, 0.0
Sune.MeleeAutoAttack.SwingTimer, 3.0
Sune.MeleeAutoAttack.HitVisualDelay, 0.5
Sune.MeleeAutoAttack.StrengthCoefficient, 0.85
Sune.SingleTargetFillerMelee.DamageStrengthCoefficient, 1.60
Sune.SingleTargetFillerMelee.ResourceProcChance, 0.15
Sune.SingleTargetFillerMelee.HitVisualDelay, 0.15
Sune.SingleTargetFillerMelee.Cleave.Radius, 700
Sune.SingleTargetFillerMelee.Cleave.DamageScaler, 0.15
Sune.SingleTargetFillerMelee.Cleave.MaxNumTargets, 20.0
Sune.SingleTargetFillerMelee.Cleave.TargetCountThreshold, 3.0
Sune.SingleTargetFillerMelee.Talent.ExtraDebuffFromCrit.ExtraDebuffStack, 1.0
Sune.SingleTargetFillerMelee.Talent.CritChanceIncrease, 0.0
Sune.SingleTargetFillerMelee.Talent.AoeProcBuff.Proc.ProcChance, 0.20
Sune.SingleTargetFillerMelee.Talent.AoeProcBuff.Proc.BuffStackGain, 1.0
Sune.SingleTargetFillerMelee.Talent.AoeProcBuff.Proc.BuffDuration, 12.0
Sune.SingleTargetFillerMelee.Talent.AoeProcBuff.Proc.StackCap, 2.0
Sune.SingleTargetFillerMelee.Talent.AoeProcBuff.Aoe.StackCost, 1.0
Sune.SingleTargetFillerMelee.Talent.AoeProcBuff.Aoe.MaxRange, 700.0
Sune.SingleTargetFillerMelee.Talent.AoeProcBuff.Aoe.MaxHeight, 400.0
Sune.SingleTargetFillerMelee.Talent.AoeProcBuff.Aoe.VisualDelay, 0.5
Sune.SingleTargetFillerMelee.Talent.AoeProcBuff.Aoe.DamageStrengthCoefficient, 1.43
Sune.SingleTargetFillerMelee.Talent.AoeProcBuff.Aoe.DamageScalingTargetCountThreshold, 8.0
