name,value
NP_BossHellcaller.MeleeAutoAttack.MaxRange, 550.0
NP_BossHellcaller.MeleeAutoAttack.Cooldown, 2.1
NP_BossHellcaller.CastedRangedProjectile.IntellectCoefficient, 4.41		; Charged Bolt
NP_BossHellcaller.CastedRangedProjectile.CastTime, 2.0
NP_BossHellcaller.CastedRangedProjectile.MaxRange, 3000.0
NP_BossHellcaller.CastedRangedProjectile.Cooldown, 0.0
NP_BossHellcaller.CastedRangedProjectile.InterruptCooldown, 6.0
NP_BossHellcaller.ChainLightning.IntellectCoefficient, 6.12				; Dread Arc
NP_BossHellcaller.ChainLightning.InitialCooldown, 12.0
NP_BossHellcaller.ChainLightning.Cooldown, 20.0
NP_BossHellcaller.ChainLightning.MaxRange, 4000.0
NP_BossHellcaller.ChainLightning.CastTime, 3.0
NP_BossHellcaller.ChainLightning.MaxChainDistance, 1000.0
NP_BossHellcaller.ChainLightning.MaxChainCount, 4.0
NP_BossHellcaller.ChainLightning.InterruptCooldown, 16.0
NP_BossHellcaller.TankSlamCone.InitialCooldown, 18.0					; Forked Lightning
NP_BossHellcaller.TankSlamCone.Cooldown, 30.0
NP_BossHellcaller.TankSlamCone.PostAbilityPadding, 0.5
NP_BossHellcaller.TankSlamCone.ConeLength, 3200.0
NP_BossHellcaller.TankSlamCone.ConeAngle, 90.0
NP_BossHellcaller.TankSlamCone.MaxRange, 600.0
NP_BossHellcaller.TankSlamCone.CastTime, 3.0
NP_BossHellcaller.TankSlamCone.ChannelDuration, 4.0
NP_BossHellcaller.TankSlamCone.ChannelTickRate, 0.50
NP_BossHellcaller.TankSlamCone.AoeDamage.IntellectCoefficient, 2.95
NP_BossHellcaller.SoakDebuff.InitialCooldown, 24.0						; Lightning Rod
NP_BossHellcaller.SoakDebuff.Cooldown, 38.0
NP_BossHellcaller.SoakDebuff.MaxRange, 4000.0
NP_BossHellcaller.SoakDebuff.MinRange, 0.0
NP_BossHellcaller.SoakDebuff.Debuff.SoakRadius, 400.0
NP_BossHellcaller.SoakDebuff.Debuff.Duration, 12.0
NP_BossHellcaller.SoakDebuff.Debuff.TickInterval, 0.50
NP_BossHellcaller.SoakDebuff.Damage.IntCoefficient, 2.34
NP_BossHellcaller.SoakDebuff.TargetCount, 1.0
NP_BossHellcaller.SoakDebuff.ActivationDelay, 2.0 ; amount of time before it starts ticking
NP_BossHellcaller.GrowingCircleCast.InitialCooldown, 38.0				; Forked Lightning
NP_BossHellcaller.GrowingCircleCast.Cooldown, 32.0
NP_BossHellcaller.GrowingCircleCast.Radius, 1200.0
NP_BossHellcaller.GrowingCircleCast.IntCoefficient, 15.58
NP_BossHellcaller.GrowingCircleCast.CastTime, 3.0
NP_BossHellcaller.Summon.InitialCooldown, 10.0							; Raiders!
NP_BossHellcaller.Summon.Cooldown, 70.0
NP_BossHellcaller.PeriodicDamage.TickInterval, 2.0
NP_BossHellcaller.PeriodicDamage.StrengthCoefficient, 1.09
NP_BossHellcaller.Retreat.TriggerHealthPercent, 80.0					; Leave Phase 1
NP_BossHellcaller.Retreat.MinHealthPercentBeforeRetreating, 75.0
NP_BossHellcaller.Retreat.PreTeleportDelay, 2.5
NP_BossHellcaller.Retreat.TeleportDuration, 2.0
NP_BossHellcaller.Retreat.StunDuration, 2.5
NP_BossHellcaller.InitialTankDebuff.InitialMinCooldown, 6.0 			; CUT ABILITY
NP_BossHellcaller.InitialTankDebuff.InitialMaxCooldown, 6.0
NP_BossHellcaller.InitialTankDebuff.MinCooldown, 30.0
NP_BossHellcaller.InitialTankDebuff.MaxCooldown, 30.0
NP_BossHellcaller.IntiialTankDebuff.CastTime, 2.0
NP_BossHellcaller.InitialTankDebuff.MaxRange, 2000.0
NP_BossHellcaller.InitialTankDebuff.IntellectCoefficient, 6.00
NP_BossHellcaller.InitialTankDebuff.Debuff.Duration, 36.0
NP_BossHellcaller.InitialTankDebuff.Debuff.MagicDamageMultiplier, 1.25
NP_HalfMancatcher.MeleeAutoAttack.StrengthCoefficient, 1.12
NP_HalfMancatcher.MeleeAutoAttack.MaxRange, 500.0
NP_HalfMancatcher.MeleeAutoAttack.Cooldown, 1.8
NP_HalfMancatcher.Grip.StrengthCoefficient, 2.11
NP_HalfMancatcher.Grip.InitialMinCooldown, 12.0
NP_HalfMancatcher.Grip.InitialMaxCooldown, 40.0
NP_HalfMancatcher.Grip.Cooldown, 40.0
NP_HalfMancatcher.Grip.MinRange, 1500.0
NP_HalfMancatcher.Grip.MaxRange, 3500.0
NP_HalfMancatcher.Grip.PullSpeedPerCentimeter, 5000.0
NP_HalfMancatcher.Grip.PrePullDelay, 2.0
NP_HalfMancatcher.Grip.Slow.MovementSpeedMultiplier, 0.35 ; 65% slowed
NP_HalfMancatcher.Grip.Slow.Duration, 3.0
NP_Shinchopper.MeleeAutoAttack.MinCooldown, 1.3
NP_Shinchopper.MeleeAutoAttack.MaxCooldown, 1.3
NP_Shinchopper.MeleeAutoAttack.MaxRange, 500.0
NP_Shinchopper.MeleeAutoAttack.StrengthCoefficient, 0.63
NP_Facestabber.MeleeAutoAttack.MinCooldown, 1.6
NP_Facestabber.MeleeAutoAttack.MaxCooldown, 1.6
NP_Facestabber.MeleeAutoAttack.MaxRange, 500.0
NP_Facestabber.MeleeAutoAttack.StrengthCoefficient, 1.18
NP_Facestabber.JumpAttack.InitialMinCooldown, 8.0
NP_Facestabber.JumpAttack.InitialMaxCooldown, 40.0
NP_Facestabber.JumpAttack.MinCooldown, 35.0
NP_Facestabber.JumpAttack.MaxCooldown, 35.0
NP_Facestabber.JumpAttack.MaxRange, 800.0
NP_Facestabber.JumpAttack.PostAbilityPadding, 6.0
NP_Facestabber.JumpAttack.PerTargetCooldown, 30.0
NP_Facestabber.AttachedAttack.StrengthCoefficient, 0.32
NP_Facestabber.AttachedAttack.MaxRange, 500.0
NP_Facestabber.AttachedAttack.Duration, 4.0
NP_Facestabber.AttachedAttack.TickInterval, 0.5
NP_Facestabber.AttachedAttack.MinCooldown, 1.0
NP_Facestabber.AttachedAttack.MaxCooldown, 1.0 
NP_Facestabber.CastProjectile.InitialMinCooldown, 5.0
NP_Facestabber.CastProjectile.InitialMaxCooldown, 24.0
NP_Facestabber.CastProjectile.MinCooldown, 18.0
NP_Facestabber.CastProjectile.MaxCooldown, 18.0
NP_Facestabber.CastProjectile.MinPostAbilityPadding, 1.0
NP_Facestabber.CastProjectile.MaxPostAbilityPadding, 1.0
NP_Facestabber.CastProjectile.MaxRange, 4000.0
NP_Facestabber.CastProjectile.CastTime, 2.0
NP_Facestabber.CastProjectile.StrengthCoefficient, 2.32
NP_BullyBasher.MeleeAutoAttack.MinCooldown, 2.9
NP_BullyBasher.MeleeAutoAttack.MaxCooldown, 2.9
NP_BullyBasher.MeleeAutoAttack.MaxRange, 500.0
NP_BullyBasher.MeleeAutoAttack.StrengthCoefficient, 2.20
NP_BullyBasher.Biggest.DamagScale, 1.25
NP_BullyBasher.Biggest.SizeScale, 1.5
NP_BullyBasher.Biggest.SpreadRadius, 800.0
NP_BullyBasher.TankSlam.InitialMinCooldown, 6.0
NP_BullyBasher.TankSlam.InitialMaxCooldown, 14.0
NP_BullyBasher.TankSlam.MinCooldown, 20.0
NP_BullyBasher.TankSlam.MaxCooldown, 20.0
NP_BullyBasher.TankSlam.PostAbilityPadding, 1.5
NP_BullyBasher.TankSlam.MaxRange, 500.0
