name,value
SG_CoralLasher.MeleeAutoAttack.MaxRange, 400.0
SG_CoralLasher.MeleeAutoAttack.Cooldown, 1.6
SG_CoralLasher.InitialRangedAttack.StrengthCoefficient, 0.78						; CORAL LASHER - DISGORGED MUCK
SG_CoralLasher.InitialRangedAttack.Dot.StrengthCoefficient, 0.17
SG_CoralLasher.InitialRangedAttack.Dot.Duration, 21.0
SG_CoralLasher.InitialRangedAttack.Dot.Period, 1.5
SG_CoralLasher.InitialRangedAttack.MaxRange, 4000.0
SG_CoralLasher.InitialRangedAttack.InitialMinCooldown, 4.0
SG_CoralLasher.InitialRangedAttack.InitialMaxCooldown, 10.0
SG_CoralLasher.InitialRangedAttack.Cooldown, 12.0
SG_DrownedSailor.AutoAttack.DamageIntellectCoefficient, 1.16						; VENGEFUL SHADE - MELEE AUTO ATTACK
SG_DrownedSailor.AutoAttack.Cooldown, 1.80
SG_DrownedSailor.AutoAttack.MaxRange, 500.0
SG_DrownedSailor.PoisonDagger.InitialMinCooldown, 6.0								; VENGEFUL SHADE - WITHERBANE TOXIN		
SG_DrownedSailor.PoisonDagger.InitialMaxCooldown, 25.0
SG_DrownedSailor.PoisonDagger.Cooldown, 25.0
SG_DrownedSailor.PoisonDagger.CCcooldown, 12.0
SG_DrownedSailor.PoisonDagger.CastDuration, 2.0
SG_DrownedSailor.PoisonDagger.Dot.Duration, 18.0
SG_DrownedSailor.PoisonDagger.Dot.Period, 3.00
SG_DrownedSailor.PoisonDagger.Dot.StrengthCoefficient, 1.85 	; Dot tick damage
SG_DrownedSailor.PoisonDagger.HasteReductionMultiplier.Duration, 18.0
SG_DrownedSailor.PoisonDagger.HasteReductionMultiplier.TickPeriod, 0.0		;Should not tick
SG_DrownedSailor.PoisonDagger.HasteReductionMultiplier.HasteMultiplier, 1.00
SG_DrownedSailor.PoisonDagger.HasteReductionMultiplier.MoveSpeedMultiplier, 0.70
SG_DrownedSailor.PoisonDagger.MaxRange, 4000.0
SG_DrownedSailor.CastedEnrageTarget.MaxRange, 4000.0								; VENGEFUL SHADE - BITTER FRENZY
