name,value
VC_BossBrute.MeleeAutoAttack.MaxRange, 700.0
VC_BossBrute.MeleeAutoAttack.Cooldown, 3.5
VC_BossBrute.MeleeAutoAttack.CastingDuration, 0.67
VC_BossBrute.MeleeAutoAttack.Radius, 400.0
VC_BossBrute.ChanneledAttack.StrengthCoefficient, 3.0
VC_BossBrute.ChanneledAttack.MaxRange, 700.0
VC_BossBrute.ChanneledAttack.DamageRange, 800.0
VC_BossBrute.ChanneledAttack.InitialMinCooldown, 12.0
VC_BossBrute.ChanneledAttack.InitialMaxCooldown, 14.0
VC_BossBrute.ChanneledAttack.MinCooldown, 24.0
VC_BossBrute.ChanneledAttack.MaxCooldown, 24.0
VC_BossBrute.ChanneledAttack.MinPostAbilityPadding, 0.5
VC_BossBrute.ChanneledAttack.MaxPostAbilityPadding, 0.5
VC_BossBrute.ChanneledAttack.Duration, 8.0
VC_BossBrute.ChanneledAttack.TickInterval, 0.5
VC_BossBrute.Enrage.InitialMinCooldown, 22.0
VC_BossBrute.Enrage.InitialMaxCooldown, 28.0
VC_BossBrute.Enrage.Cooldown, 24.0                                     ; Cooldown starts when the shield goes down.
VC_BossBrute.Enrage.MinPostAbilityPadding, 0.5
VC_BossBrute.Enrage.MaxPostAbilityPadding, 0.5
VC_BossBrute.Enrage.CastTime, 1.0
VC_BossBrute.Enrage.AbsorbMaxHealthFraction, 0.2
VC_BossBrute.Enrage.SizeScale, 1.2
VC_BossBrute.Enrage.AttackSpeedMultiplier, 2.0
VC_BossBrute.Enrage.MoveSpeedMultiplier, 1.4
VC_BossBrute.DotAura.HealthFractionLostPerStack, 0.1
VC_BossBrute.DotAura.IntCoefficient, 0.1
VC_BossBrute.DotAura.TickInterval, 2.0
VC_BossBrute.DotAura.Radius, 3000.0
VC_BossBrute.DropTreasure.HealthFractionLostPerPile, 0.1
VC_BossBrute.DropTreasure.PickupRadius, 130.0
VC_BossBrute.DropTreasure.MinSpawnDistance, 400.0
VC_BossBrute.DropTreasure.MaxSpawnDistance, 1200.0
VC_BossBrute.DropTreasure.StrengthCoefficient, 0.5                      ; Instant damage taken when you pick up the thing
VC_BossBrute.DropTreasure.Buff.Duration, 20.0
VC_BossBrute.DropTreasure.Buff.DamageScale, 1.1
VC_BossBrute.DropTreasure.Buff.MoveSpeedMultiplier, 1.0
