name,value
Winter.Collectable.StackingBuff.Duration, 20.0 ; if this duration is exceeded - the entire stack is lost and you have to try again 
Winter.Collectable.StackingBuff.MoveSpeedBonusPerStack, 1.05 
Global.Ability.ProcUiFlashDuration, 2.0
Global.DefaultCCCooldown, 9.0 ; Default CC cooldown used for all casted/channeled abilities 
Global.DefaultFillerCastInterruptCooldown, 6.0 ; Default CC cooldown used for all casted/channeled abilities 
Global.DungeonQualifyTimePenaltyOnDeath, 0.0 ; amount of seconds penalty for dungeon timer for each player death
Global.ArmorToDamageReductionMultiplier, 7.0 ; manipulate this number to change how much damage reduction the armor stat gives
Global.GrievousCritScalar, 1.0 ; Grievous crit damage is multiplied by this. Used to tweak the power of Grievous crits globally
Global.SecondaryThreatMaxDistance, 5000.0 ; the maximum distance as to which healing or applying buffs/debuffs on targets that can generate threat. if the source is farther away than this no threat is added
Global.Block.ArmorToFlatDamageReductionScalar, 0.15
Global.Block.IncomingDamageMultiplier, 0.80
Global.AbilityPadding.CC, 2.0 ; ability padding applied after interrupting an ability by CC 
Global.AbilityPadding.Interrupt, 2.0 ; ability padding applied after interrupting an ability with an interrupt ability 
Stagger.AmountOfBuckets, 5.0	; The amount of damage buckets
Stagger.Period, 3.0	; How long time it will take between stagger removals
Shared.UpdateRespawnPoint.CastTime, 2.00
Shared.UpdateRespawnPoint.BlockedByNearbyEnemies.Range, 1500.0
Shared.RespawnGracePeriod.Duration, 3.0
Shared.RespawnCooldown.Duration, 30.0 ; Applied when respawning yourself after death. Cannot respawn again until cooldown has completed (does not apply to battle-res)
Shared.BackgroundFighting.LowMinHealthPercent, 0.8
Shared.BackgroundFighting.HighMinHealthPercent, 0.95
Shared.BackgroundFighting.IncomingDamageMultiplier, 0.1
Shared.Tank.ReducedIncomingDamage, 0.75
DefaultStatusEffects.Fear.MinMoveRange, 500.0
DefaultStatusEffects.Fear.MaxMoveRange, 1000.0
DefaultStatusEffects.Fear.MinWaitTime, 1.0
DefaultStatusEffects.Fear.MaxWaitTime, 2.0
DefaultStatusEffects.Fear.DamageThresholdAttributeScaler, 10.0
DefaultStatusEffects.Fear.Duration, 8.0
DefaultStatusEffects.Fear.MoveSpeedScaler, 0.8
DefaultStatusEffects.Disorient.MinMoveRange, 300.0
DefaultStatusEffects.Disorient.MaxMoveRange, 500.0
DefaultStatusEffects.Disorient.MinWaitTime, 0.0
DefaultStatusEffects.Disorient.MaxWaitTime, 1.0
DefaultStatusEffects.Disorient.Duration, 20.0
DefaultStatusEffects.Disorient.MoveSpeedScaler, 0.25
Ascensions.ThreatManagement.HeroBuff.CritRatingIncrease," 0            				; ""Sahril's Madness"" - unlocked diff 1 - old name ""Aggression"""
Ascensions.ThreatManagement.NonTank.DamageThreatMultiplier," 1.0					; ""Sahril's Madness"""
Ascensions.ThreatManagement.NonTank.HealThreatMultiplier," 1.0						; ""Sahril's Madness"""
Ascensions.NoDispelNoInterrupt.Scaler," 1.0                             			; ""Elheryn's Exile"" - unlocked diff 2 - old name ""Counterspell"" (yes this key should be renamed)"
Ascensions.DispelAndInterrupt.HeroBuff.DamageAndHealingScaler," 1.00    				; ""Elheryn's Exile"""
Ascensions.EnemyNewAbilities.ThisIsAFakeEntrySinceWeHandleThisInAIBC," 0.0			; ""Vayr's Legacy"" unlocked diff 3 - new"
Ascensions.TimerKillScore.HeroBuff.HasteRatingIncrease," 0             				; ""Asha's Dilemma"" - unlocked diff 4 - old name ""Strategy"""
Ascensions.LessMagicDamageTakenLessHealing.MagicDamageTaken," 1.00					; ""Celestia's Retreat"" unlocked diff 5 -  old name - ""Dampen Magic"" MoreHealthLessHealing in files"
Ascensions.LessMagicDamageTakenLessHealing.IncomingHealthMultiplier," 1.0			; ""Celestia's Retreat"" "
Ascensions.ReducedHealingAndAbsorb.WhenNotApplied.HealScaler," 1.0                ; NOTE! THIS CORRESPONDS TO THE ""25% REDUCED HEALING"" THAT IS PLAYER-FACING! (SO IF YOU TUNE THIS YOU NEED TO UPDATE THE ASCENSION DESC TO BE ""1 / [your value]"")"
Ascensions.ReducedHealingAndAbsorb.WhenNotApplied.AbsorbScaler," 1.0              ; NOTE! THIS CORRESPONDS TO THE ""25% REDUCED HEALING"" THAT IS PLAYER-FACING! (SO IF YOU TUNE THIS YOU NEED TO UPDATE THE ASCENSION DESC TO BE ""1 / [your value]"")"
Hero.MercenaryBuff.DamageHealScaleExponent, 0.97 
Opportunity.EffectDuration, 30
Hero.Spirit.DamageReductionFactor, 0.5; 50 percent damage reduction at 100 percent spirit
Hero.Spirit.Buff.HasteIncrease, 0.3 ; adds haste to hero for duration
Hero.Spirit.Buff.ManaRegenTickTimeMultiplier, 0.50 ; multiplier on manaregenTicktime to hero for duration
Hero.Spirit.Buff.ManaRegenRateMultiplier, 3.0 ; multiplier on manaregenRate to hero for duration
Hero.Spirit.Buff.Duration, 20.0
Hero.Spirit.Buff.NonTankThreatGenerationScaler, 0.5
Hero.Spirit.PassiveGainRate, 1.0
Hero.Spirit.PassiveGainPeriod, 3.0
Hero.Spirit.OnReviveSpiritPointRetainFactor, 0.75
Hero.SpiritProcRefundResource.Delay, 0.20
Hero.SpiritPointGain.SpiritPointsFromDamageScaler, 0.25
Hero.SpiritPointGain.DungeonTimerExpiredMultiplier, 4.0 ; after dungeon timer is expired spirit point gain is multiplied by this number 
Hero.AutoAttack.DefaultSwingTimer, 2.5
Hero.AbilityPaddingCooldown.Default.Duration, 0.3 ; Padding for activating off-GCD abilities. Note that it's nice if this is larger than the (reasonably) highest ping roundtrip time as otherwise the UI will flash a bit weirdly
