name,value

Weapon.AbsorbDelayedAoeDamage.Cooldown, 90.0
Weapon.AbsorbDelayedAoeDamage.Absorb.Duration, 18.0
Weapon.AbsorbDelayedAoeDamage.Absorb.AbsorbMaxHealthPercentage, 0.70
Weapon.AbsorbDelayedAoeDamage.Explosion.PrimaryAttributeCoefficient, 22.41
Weapon.AbsorbDelayedAoeDamage.Explosion.Radius, 1000.0
Weapon.AbsorbDelayedAoeDamage.Explosion.DamageFalloffTargetCountThreshold, 1.0 ; damage falls off after 1 targets

Weapon.InstantChargedProjectileHealOrDamage.Cooldown, 20.0
Weapon.InstantChargedProjectileHealOrDamage.Charges, 2.00
Weapon.InstantChargedProjectileHealOrDamage.MaxRange, 3000.0
Weapon.InstantChargedProjectileHealOrDamage.Heal.PrimaryAttributeCoefficient, 19.104
Weapon.InstantChargedProjectileHealOrDamage.Damage.PrimaryAttributeCoefficient, 9.552
Weapon.InstantChargedProjectileHealOrDamage.PowerCharge.BonusPerStack, 0.30 ; 100 percent bonus power per stack 
Weapon.InstantChargedProjectileHealOrDamage.PowerCharge.MaxCharges, 2.0

Weapon.InstantAoeDamageBuff.Cooldown, 120.0
Weapon.InstantAoeDamageBuff.Radius, 1000.0
Weapon.InstantAoeDamageBuff.Damage.PrimaryAttributeCoefficient, 21.09
Weapon.InstantAoeDamageBuff.Damage.DamageFalloffTargetCountThreshold, 1.0 ; damage falls off after 1 targets
Weapon.InstantAoeDamageBuff.Buff.Duration, 20.0
Weapon.InstantAoeDamageBuff.Buff.CriticalStrikeBonusPerStack, 0.06
Weapon.InstantAoeDamageBuff.Buff.MaxStacks, 5.0

Weapon.CastedChainHealDamage.Cooldown, 60.0
Weapon.CastedChainHealDamage.CastDuration, 1.5
Weapon.CastedChainHealDamage.Damage.PrimaryAttributeCoefficient, 13.977
Weapon.CastedChainHealDamage.Heal.PrimaryAttributeCoefficient, 18.17
Weapon.CastedChainHealDamage.InitialHitPowerScaler, 2.0
Weapon.CastedChainHealDamage.AbilityAddedCritChance, 0.30
Weapon.CastedChainHealDamage.MaxRange, 3000.0 ; range of the initial cast and not the max jump distance
Weapon.CastedChainHealDamage.ChainBehavior.MaxEnemyTargets, 4.0
Weapon.CastedChainHealDamage.ChainBehavior.MaxFriendlyTargets, 4.0
Weapon.CastedChainHealDamage.ChainBehavior.JumpDelay, 0.15 ; Amount of seconds before jumping to the next target
Weapon.CastedChainHealDamage.ChainBehavior.MaxJumpRangeInCombat, 2000.0 ; Max distance the chain can jump away from the initial target
Weapon.CastedChainHealDamage.ChainBehavior.MaxJumpRangeOutOfCombat, 500.0 ; any enemy (out of combat) within range of the first target will also be hit

Weapon.InstantDamageAccumulativeDebuff.MaxRange, 3000.0
