name,value
UB_BossArchbishop.AutoAttackMelee.Cooldown, 2.5
UB_BossArchbishop.AutoAttackMelee.MaxRange, 500.0
UB_BossArchbishop.FollowingCylinderAOE.PreCastTime, 2.0
UB_BossArchbishop.FollowingCylinderAOE.ChannelDuration, 3.0
UB_BossArchbishop.FollowingCylinderAOE.ChannelTick, 0.5
UB_BossArchbishop.FollowingCylinderAOE.StrengthCoefficient, 2.64
UB_BossArchbishop.FollowingCylinderAOE.CylinderLength, 4000.0
UB_BossArchbishop.FollowingCylinderAOE.CylinderRadius, 250.0
UB_BossArchbishop.FollowingCylinderAOE.InitialCooldown, 10.0
UB_BossArchbishop.FollowingCylinderAOE.Cooldown, 28.0
UB_BossArchbishop.FollowingCylinderAOE.OrbDamageHealthPercentage, 0.22 ; 22 percent of max health of orb per tick as flat damage
UB_BossArchbishop.AlternatingAOE.IntellectCoefficient, 10.21
UB_BossArchbishop.AlternatingAOE.CastDuration, 2.5
UB_BossArchbishop.AlternatingAOE.InitialCooldown, 25.0
UB_BossArchbishop.AlternatingAOE.Cooldown, 60.0
UB_BossArchbishop.AlternatingAOE.Radius, 700
UB_BossArchbishop.AlternatingAOE.InvertedCircleMinRadius, 500
UB_BossArchbishop.AlternatingAOE.InvertedCircleMaxRadius, 4000
UB_BossArchbishop.AlternatingAOE.TimeDelayBetweenEachCast, 0.0
UB_BossArchbishop.OrbOfDeath.BossDebuff.IncomingDamageScale, 1.0
UB_BossArchbishop.OrbOfDeath.BossDebuff.Duration, 25.0
UB_BossArchbishop.OrbOfDeath.InitalMinCooldown, 32.5				; This value does nothing. It is based on AlternatingAOE.
UB_BossArchbishop.OrbOfDeath.InitialMaxCooldown, 32.5				; This value does nothing. It is based on AlternatingAOE.
UB_BossArchbishop.OrbOfDeath.MinCooldown, 60.0						; This value does nothing. It is based on AlternatingAOE.
UB_BossArchbishop.OrbOfDeath.MaxCooldown, 60.0						; This value does nothing. It is based on AlternatingAOE.
UB_BossArchbishop.OrbOfDeath.CastTime, 2.0
UB_BossArchbishop.OrbOfDeath.AmountOfSpawnsLowDifficulty, 10.0
UB_BossArchbishop.OrbOfDeath.AmountOfSpawnsHighDifficulty, 10.0
UB_BossArchbishop.OrbOfDeath.AmountOfSpawnsHighDifficulty.DifficultyUnlock, 0.0
