name,value
EM_Miner.MeleeAutoAttack.Spread, 0.4
EM_Miner.MeleeAutoAttack.MaxRange, 500.0
EM_Miner.MeleeAutoAttack.MinCooldown, 2.4
EM_Miner.MeleeAutoAttack.MaxCooldown, 2.4 
EM_BossGiantTroll.MeleeAutoAttack.MinCooldown, 3.5
EM_BossGiantTroll.MeleeAutoAttack.MaxCooldown, 3.5
EM_BossGiantTroll.MeleeAutoAttack.PrimaryAttributeCoefficient, 9.42
EM_BossGiantTroll.MeleeAutoAttack.MaxRange, 1600.0
EM_BossGiantTroll.MultiSoak.InitialMinCooldown, 12.0
EM_BossGiantTroll.MultiSoak.InitialMaxCooldown, 12.0
EM_BossGiantTroll.MultiSoak.MinCooldown, 25.0
EM_BossGiantTroll.MultiSoak.MaxCooldown, 25.0
EM_BossGiantTroll.MultiSoak.MinPostAbilityPadding, 1.5
EM_BossGiantTroll.MultiSoak.MaxPostAbilityPadding, 1.5
EM_BossGiantTroll.MultiSoak.CastTime, 4.0
EM_BossGiantTroll.MultiSoak.SoakedStrengthCoefficient, 9.72          ; Divided by number of soakers
EM_BossGiantTroll.MultiSoak.UnsoakedStrengthCoefficient, 9.72
EM_BossGiantTroll.MultiSoak.Radius, 500.0
EM_BossGiantTroll.ChanneledAoeDamage.InitialMinCooldown, 3.0
EM_BossGiantTroll.ChanneledAoeDamage.InitialMaxCooldown, 3.0
EM_BossGiantTroll.ChanneledAoeDamage.MinCooldown, 0.0
EM_BossGiantTroll.ChanneledAoeDamage.MaxCooldown, 0.0
EM_BossGiantTroll.ChanneledAoeDamage.MinPostAbilityPadding, 0.5
EM_BossGiantTroll.ChanneledAoeDamage.MaxPostAbilityPadding, 0.5
EM_BossGiantTroll.ChanneledAoeDamage.Radius, 7000.0
EM_BossGiantTroll.ChanneledAoeDamage.TickInterval, 1.5
EM_BossGiantTroll.ChanneledAoeDamage.StrengthCoefficient, 3.0
