name,value
Bowguy.ResourceGainInterval, 0.01
Bowguy.ResourceGainPerInterval, 0.05
Bowguy.ResourceGainPerInterval.StandingStill, 10.0
Bowguy.ResourceGainPerInterval.StanceMoving, 7.0
Bowguy.ResourceGainPerInterval.Moving, 3.0
Bowguy.SpiritProc.TargetMaxRange, 3000.0
Bowguy.SpiritProc.NumOfStacks.MainTarget, 5.0
Bowguy.SpiritProc.NumOfStacks.AdditionalTargets, 2.0
Bowguy.SpiritProc.ResourceRefund.FlatSpiritPointGain, 1.0
Bowguy.MeleeRange, 500.0
Bowguy.RangedRange, 3000.0
Bowguy.PlacedAOEMaxRangeHorizontal, 3000.0
Bowguy.PlacedAOEMaxRangeUp, 1500.0
Bowguy.PlacedAOEMaxRangeDown, 2000.0
Bowguy.RangedAutoAttack.SwingTimer, 2.4
Bowguy.RangedAutoAttack.AgilityCoefficient, 0.6
Bowguy.CastedProjectileDamage.AgilityCoefficient, 1.347
Bowguy.CastedProjectileDamage.CastDuration, 1.5
Bowguy.CastedProjectileDamage.FocusGain, 20.0
Bowguy.CastedProjectileDamage.Buff.MaxStacks, 3.0
Bowguy.CastedProjectileDamage.Buff.DamageMultiplier, 2.00
Bowguy.CastedProjectileDamage.Talent.AoeProjectileDamageEmpowered.ProcChance, 0.20
Bowguy.CastedProjectileDamage.Talent.AoeProjectileDamageEmpowered.NumOfStacks, 1.0
Bowguy.CastedProjectileDamage.Talent.AoeProjectileDamageEmpowered.MinNumOfProjectiles, 3.0
Bowguy.CastedProjectileDamage.Talent.AoeProjectileDamageEmpowered.DamageBonus, 1.25
Bowguy.CastedFrontalConeAoe.AgilityCoefficient, 1.3
Bowguy.CastedFrontalConeAoe.CastDuration, 2.0
Bowguy.CastedFrontalConeAoe.VisualDelayBetweenHits, 0.05
Bowguy.CastedFrontalConeAoe.TargetCountThreshold, 3.0
Bowguy.CastedFrontalConeAoe.ConeMaxRadius, 800.0
Bowguy.CastedFrontalConeAoe.ConeAngleWidth, 45.0
Bowguy.CastedFrontalConeAoe.Cost, 20.0
Bowguy.ChargedMoveWithDirection.Speed, 2500 ; takes 0.4s to move 1000u. Deliberately slower than Rimes and Meikos Dashes because this is a roll.
Bowguy.ChargedMoveWithDirection.MaxCharges, 3.0
Bowguy.ChargedMoveWithDirection.MaxDistance, 1000.0 ; 
Bowguy.ChargedMoveWithDirection.ChargeTime, 8.0
