name,value
Gunde.SpiritProc.ResourceRefund.FlatSpiritPointGain, 2.0
Gunde.IncomingDamageToPainScaler, 2.0
Gunde.HasteAndMoveSpeedBuff.PercentIncreasePerHealthPercentage, 0.3
Gunde.Talent.IncreasedMaxResources.MaxResourcesScaler, 1.3
Gunde.Talent.BleedTickProcForDoubleStance.Ppm, 2.0
Gunde.Talent.IncreasedThreatGeneration.ThreatGenerationScaler, 1.1
Gunde.Talent.MagicDamageResistance.IncomingMagicDamageScaler, 0.9
Gunde.Talent.IncreasedMoveSpeed.MoveSpeedScale, 1.2
Gunde.MeleeAutoAttack.HitVisualDelay, 0.51
Gunde.MeleeAutoAttack.StrengthCoefficient, 0.40
Gunde.SingleTargetInterrupt.MaxRange, 500.0
Gunde.SingleTargetInterrupt.Duration, 4.0
Gunde.SingleTargetInterrupt.Cooldown, 12.0
Gunde.SingleTargetInterrupt.VisualDelay, 0.21
Gunde.SingleTargetTaunt.MaxRange, 3000.0
Gunde.SingleTargetTaunt.Duration, 6.0
Gunde.SingleTargetTaunt.Cooldown, 8.0
Gunde.BasicSingleTargetMelee.DamageStrengthCoefficientPerHit, 0.46
Gunde.BasicSingleTargetMelee.FirstVisualHitDelay, 0.1
Gunde.BasicSingleTargetMelee.SecondVisualHitDelay, 0.45
Gunde.BasicSingleTargetMelee.MaxRange, 3000.0
Gunde.BasicSingleTargetMelee.Bleed.Duration, 18.0
Gunde.BasicSingleTargetMelee.Bleed.DamageStrengthCoefficient, 0.0578 ; 52% / 9 ticks
Gunde.BasicSingleTargetMelee.Bleed.Period, 2.0
Gunde.BasicSingleTargetMelee.Bleed.StackCap, 1.0
Gunde.BasicSingleTargetMelee.SelfBuff.StackCap, 10.0
Gunde.BasicSingleTargetMelee.SelfBuff.Duration, 18.0
Gunde.BasicSingleTargetMelee.SelfBuff.MaxHealthScaler, 1.01
Gunde.BasicSingleTargetMelee.SelfBuff.HasteScaler, 1.01
Gunde.Talent.BasicSingleTargetMelee.BleedProc.Cooldown, 15.0
Gunde.Talent.BasicSingleTargetMelee.BleedProc.Bleed.DamageStrengthCoefficient, 1.03 ; 1.03 / 6 ticks
Gunde.Talent.BasicSingleTargetMelee.BleedProc.Bleed.Duration, 6.0
Gunde.Talent.BasicSingleTargetMelee.BleedProc.Bleed.TickPeriod, 1.0
Gunde.AoeDamageAndStun.AoeRadius, 1000.0
Gunde.AoeDamageAndStun.DamageStrengthCoefficient, 0.56
Gunde.AoeDamageAndStun.DamageScalingTargetCountThreshold, 8.0
Gunde.AoeDamageAndStun.StunDuration, 1.5
Gunde.AoeDamageAndStun.Cooldown, 45.0
Gunde.AoeDamageAndStun.VisualHitDelay, 0.21
Gunde.AoeDamageAndStun.NumCharges, 2.0
Gunde.DamageBlockHealthDrain.Cooldown, 60.0
Gunde.DamageBlockHealthDrain.Duration, 10.0
Gunde.DamageBlockHealthDrain.VisualDelay, 0.3
Gunde.DamageBlockHealthDrain.IncomingDamageNotBecomingDotScaler, 0.0 ; i.e. transferring 100% of damage to dot
Gunde.DamageBlockHealthDrain.Bleed.Duration, 12.0
Gunde.DamageBlockHealthDrain.Bleed.TickPeriod, 1.0
Gunde.Talent.DamageBlockHealthDrain.IncreasedIncomingHeal.HealingScaler, 1.20
Gunde.HeavySingleTargetMelee.Cooldown, 4.0
Gunde.HeavySingleTargetMelee.HealthCostMaxHealthFraction, 0.10
Gunde.HeavySingleTargetMelee.VisualHitDelay, 0.24
Gunde.HeavySingleTargetMelee.DamageStrengthCoefficient, 2.28
Gunde.HeavySingleTargetMelee.InHealingStance.DamageToHealFactor, 2.0
Gunde.HeavySingleTargetMelee.InHealingStance.ResourceCost, 30.0
Gunde.InstantSpinAoe.Cooldown, 8.0
Gunde.InstantSpinAoe.HealthCostMaxHealthFraction, 0.10
Gunde.InstantSpinAoe.VisualHitDelay, 0.44
Gunde.InstantSpinAoe.AoeRadius, 1000.0
Gunde.InstantSpinAoe.DamageStrengthCoefficient, 0.95
Gunde.InstantSpinAoe.DamageScalingTargetCountThreshold, 5.0
Gunde.InstantSpinAoe.InHealingStance.DamageToHealFactor, 2.0
Gunde.InstantSpinAoe.InHealingStance.ResourceCost, 40.0
Gunde.Talent.InstantSpinAoe.InHealingStance.ExtraCritWhenHasLowHealth.CritChanceScaler, 1.3
Gunde.Talent.InstantSpinAoe.InHealingStance.ExtraCritWhenHasLowHealth.HealthTheshold, 0.5
Gunde.HeavySingleTargetMeleeWithHeal.Cooldown, 12.0
Gunde.HeavySingleTargetMeleeWithHeal.VisualHitDelay, 0.35
Gunde.HeavySingleTargetMeleeWithHeal.DamageStrengthCoefficient, 3.15
Gunde.HeavySingleTargetMeleeWithHeal.DamageToHealFactor, 4.0
Gunde.HeavySingleTargetMeleeWithHeal.InHealingStance.PainGain, 50.0
Gunde.HealingStance.Cooldown, 1.5
Gunde.HealingStance.IncomingDamageScaler, 0.7
Gunde.HealingStance.VisualDelay, 0.2
Gunde.HealthAndBleedSelfBuff.BleedDamageScaler, 1.3
Gunde.HealthAndBleedSelfBuff.Duration, 12.0
Gunde.HealthAndBleedSelfBuff.Cooldown, 30.0
Gunde.HealthAndBleedSelfBuff.VisualDelay, 0.3
Gunde.HealthAndBleedSelfBuff.NumCharges, 2.0
Gunde.HealthAndBleedSelfBuff.BleedDamageToHeal.DamageHealScaler, 0.5
