name,value
Lisa.RangedMaxRange, 3000.0
Lisa.SpiritProc.ResourceRefund.FlatSpiritPointGain, 1.0
Lisa.Stagger.HealStaggerReductionFactor, 0.0	; How many percent of the heal that should remove stagger. The rest goes to healing
Lisa.Stagger.DamageStaggerAdditionFactor, 0.50	; How many percent of the damage that should add stagger. The rest goes to damage
Lisa.Stagger.DirectHealInfluence, 0.0			; How much the direct healing should affect stagger. 0 means no removal of stagger which is 100 percent heal. 1 means as much as heal from damage. More than 1 means more than heal from damage
Lisa.Stagger.Dot.Period, 3.0		; OLD - Check AbilityConstants
Lisa.Stagger.Dot.Duration, 15.0 	; OLD - Check AbilityConstants
Lisa.Stagger.MaxRange, 4000.0
Lisa.Stagger.ColorThreshold1, 0.66	; Red if equal or more
Lisa.Stagger.ColorThreshold2, 0.33	; Yellow if equal or more
Lisa.Stagger.ColorThreshold3, 0.00	; Green if equal or more
Lisa.DamageToHealMultiplier.Multiplier, 1.00		; How much of her outgoing damage that goes into healing 
Lisa.DamageToHealMultiplier.ThreatMaxRange, 4000.0	; The range of how far the heal will contribute to the threat list
Lisa.SavedDamageDuration, 5.0
Lisa.SpiritProc.ResourceGain, 30.0
Lisa.CastedSingleTargetProjectile.CastTime, 1.5
Lisa.CastedSingleTargetProjectile.IntellectCoefficient, 1.06
Lisa.CastedSingleTargetProjectile.ResourceGain, 4.0
Lisa.CastedSingleTargetProjectile.ResourceGainCrit, 6.0
Lisa.CastedSingleTargetProjectile.Cost, 1.0
Lisa.CastedSingleTargetProjectile.Talent.CastedHealFromPreviousDamageProc.ProcChance, 0.20
Lisa.CastedSingleTargetProjectile.Talent.CastedHealFromPreviousDamageProc.MaxProcs, 2.0
Lisa.CastedSingleTargetProjectile.Talent.CastedHealFromPreviousDamageProc.ProcsPerHit, 1.0
Lisa.CastedSingleTargetProjectile.Talent.CooldownReduction.ReductionInSeconds, 1.0
Lisa.InstantSingleTargetDamageAndDot.Damage.IntellectCoefficient, 0.3
Lisa.InstantSingleTargetDamageAndDot.Dot.IntellectCoefficient, 0.3
Lisa.InstantSingleTargetDamageAndDot.Dot.Duration, 18.0
Lisa.InstantSingleTargetDamageAndDot.Dot.TickInterval, 2.0
Lisa.InstantSingleTargetDamageAndDot.Dot.ResourceGainPerTick, 0.0
Lisa.InstantSingleTargetDamageAndDot.Dot.ResourceGainPerTickCrit, 0.0
Lisa.InstantSingleTargetDamageAndDot.Cost, 3.0
Lisa.InstantSingleTargetDamageAndDot.Talent.ChargeUpMultiple.CastDuration, 2.0
Lisa.InstantSingleTargetDamageAndDot.Talent.ChargeUpMultiple.AdditionalAmountOfTargets, 2.0
Lisa.InstantSingleTargetDamageAndDot.Talent.ChargeUpMultiple.RadiusAroundTarget, 800.0
Lisa.InstantSingleTargetDamageAndDot.Talent.ChargeUpMultiple.ResourceGainMultiplier, 1.5
Lisa.InstantSingleTargetDamageAndDot.Talent.ChargeUpMultiple.DurationMultiplier, 0.8
Lisa.InstantSingleTargetDamageAndDot.Talent.ChargeUpMultiple.Cost, 10.0
Lisa.CastedProjectileDamageIncreaseDebuff.CastTime, 2.0
Lisa.CastedProjectileDamageIncreaseDebuff.IntellectCoefficient, 3.6
Lisa.CastedProjectileDamageIncreaseDebuff.ResourceGain, 20.0
Lisa.CastedProjectileDamageIncreaseDebuff.ResourceGainCrit, 30.0
Lisa.CastedProjectileDamageIncreaseDebuff.Cost, 82.0
Lisa.CastedProjectileDamageIncreaseDebuff.Cooldown, 45.0
Lisa.CastedProjectileDamageIncreaseDebuff.Debuff.Duration, 20.0
Lisa.CastedProjectileDamageIncreaseDebuff.Debuff.IncomingDamageMultiplier, 1.2
Lisa.CastedProjectileDamageIncreaseDebuff.DamageToAoeDamage.TickInterval, 3.0
Lisa.CastedProjectileDamageIncreaseDebuff.DamageToAoeDamage.DamageMultiplier, 0.2
