name,value
Mara.SpiritProc.ResourceRefund.FlatSpiritPointGain, 1.0
Mara.Energy.GainInterval, 0.01	; Modified by haste
Mara.Energy.GainIntervalHasteScaler, 0.0	; A scaler to change how much the haste should modify the gain interval
Mara.Energy.GainAmount, 0.10
Mara.AutoAttack.SwingTimer, 1.5
Mara.AutoAttack.AgilityCoefficient, 0.30
Mara.AutoAttack.EnergyGainProc.Chance, 0.15
Mara.AutoAttack.EnergyGainProc.EnergyGain, 20.0
Mara.AutoAttack.EnergyGainProc.AgilityCoefficient, 0.90
Mara.StrongerBehindAttackBuilder.AgilityCoefficient, 0.996
Mara.StrongerBehindAttackBuilder.DamageMultiplierBehind, 1.40
Mara.StrongerBehindAttackBuilder.DamageMultiplierInStealth, 1.0
Mara.StrongerBehindAttackBuilder.ComboPointGain, 2.0
Mara.StrongerBehindAttackBuilder.ComboPointGainAtCrit, 3.0
Mara.StrongerBehindAttackBuilder.Cost, 20.0
Mara.StrongerBehindAttackBuilder.Poison.AgilityCoefficient, 4.476
Mara.StrongerBehindAttackBuilder.Poison.AddedCritChance, 1.00
Mara.StrongerBehindAttackBuilder.Poison.ComboPointGainMultiplier, 3.0
Mara.ChargedDoubleAttackBuilder.FirstAttack.AgilityCoefficient, 1.452
Mara.ChargedDoubleAttackBuilder.FirstAttack.Spread, 0.1
Mara.ChargedDoubleAttackBuilder.SecondAttack.AgilityCoefficient, 1.08
Mara.ChargedDoubleAttackBuilder.SecondAttack.Spread, 0.1
Mara.ChargedDoubleAttackBuilder.ComboPointGain, 2.0
Mara.ChargedDoubleAttackBuilder.ComboPointGainAtCrit, 3.0
Mara.ChargedDoubleAttackBuilder.NumOfCharges, 3.0
Mara.ChargedDoubleAttackBuilder.ChargeTime, 9.0
Mara.ChargedDoubleAttackBuilder.EnergyGain, 30.0
Mara.ChargedDoubleAttackBuilder.Poison.Duration, 60.0
Mara.ChargedDoubleAttackBuilder.Poison.TickInterval, 2.0
Mara.ChargedDoubleAttackBuilder.Poison.AgilityCoefficient, 1.116
Mara.ChargedDoubleAttackBuilder.Poison.AttackSpeedMultiplier, 1.00
Mara.ChargedDoubleAttackBuilder.Poison.EnergyRegenSpeedMultiplier, 1.40	; Higher is faster
Mara.ChargedDoubleAttackBuilder.Talent.ResourceIncreaseOT.ProcChance, 0.04
Mara.ChargedDoubleAttackBuilder.Talent.ResourceIncreaseOT.ProcDuration, 15.0
Mara.ChargedDoubleAttackBuilder.Talent.ResourceIncreaseOT.Duration, 10.0
Mara.ChargedDoubleAttackBuilder.Talent.ResourceIncreaseOT.TotalResource, 30.0	; The tick interval is based on the original resource gain interval and the resource per tick is calculated internally
Mara.ChargedDoubleAttackBuilder.Talent.IncreasedCritChance.AdditionalCritChance, 1.00
Mara.AoeAttackBuilder.AgilityCoefficient, 0.806
Mara.AoeAttackBuilder.ComboPointGainPerHit, 1.0
Mara.AoeAttackBuilder.ComboPointGainAtCrit, 2.0
Mara.AoeAttackBuilder.NumTargetsDamageFalloffThreshold, 8.0
Mara.AoeAttackBuilder.Radius, 800.0
Mara.AoeAttackBuilder.Cost, 35.0
Mara.AoeAttackBuilder.Poison.MinRandomDuration, 6.0
Mara.AoeAttackBuilder.Poison.MaxRandomDuration, 8.0
Mara.AoeAttackBuilder.Poison.MaxTicks, 6.0
Mara.AoeAttackBuilder.Poison.AgilityCoefficient, 0.312
Mara.AoeAttackBuilder.Poison.Aoe.AgilityCoefficient, 0.624
Mara.AoeAttackBuilder.Poison.Aoe.Radius, 500.0
Mara.AoeAttackBuilder.Poison.Aoe.NumTargetsDamageFalloffThreshold, 3.0
Mara.AoeAttackBuilder.Talent.HeavyAttackSpenderDamageIncrease.MaxStacks, 6.0
Mara.AoeAttackBuilder.Talent.HeavyAttackSpenderDamageIncrease.DamageMultiplierPerStack, 0.10
Mara.AoeAttackBuilder.Talent.HeavyAttackSpenderDamageIncrease.Duration, 12.0
Mara.ChargedTeleportBehindTarget.MaxRange, 3000.0
Mara.ChargedTeleportBehindTarget.MaxCharges, 2.0
Mara.ChargedTeleportBehindTarget.ChargeDuration, 30.0
Mara.ChargedTeleportBehindTarget.Talent.IncreasedDamageOrMovementSpeed.DamageIncrease.DamageMultiplier, 1.1
Mara.ChargedTeleportBehindTarget.Talent.IncreasedDamageOrMovementSpeed.DamageIncrease.Duration, 10.0
Mara.ChargedTeleportBehindTarget.Talent.IncreasedDamageOrMovementSpeed.MovementSpeedIncrease.Duration, 4.0
Mara.ChargedTeleportBehindTarget.Talent.IncreasedDamageOrMovementSpeed.MovementSpeedIncrease.SpeedMultiplier, 1.5
Mara.MeleeInterrupt.Cooldown, 16.0
Mara.MeleeInterrupt.LockoutDuration, 4.0
Mara.ChargedResourceRefillSelfBuff.Duration, 10.0
Mara.ChargedResourceRefillSelfBuff.MaxCharges, 1.0
Mara.ChargedResourceRefillSelfBuff.ChargeDuration, 60.0
Mara.ChargedResourceRefillSelfBuff.EnergyGainMultiplier, 1.20
Mara.ChargedResourceRefillSelfBuff.Talent.IncreasedDamage.DamageMultiplier, 1.2
Mara.ChargedResourceRefillSelfBuff.Talent.IncreasedDamage.DamageMultiplierAtLowHealth, 1.4
Mara.ChargedResourceRefillSelfBuff.Talent.BleedAttackSpenderBleedAoe.AdditionalMaxTargets, 4.0
Mara.ChargedResourceRefillSelfBuff.Talent.BleedAttackSpenderBleedAoe.MaxRadius, 600.0
Mara.ChargedResourceRefillSelfBuff.Talent.BleedAttackSpenderBleedAoe.ForwardAngleCutOff, 270.0
Mara.HeavyAttackSpender.AgilityCoefficient, 2.5212
Mara.HeavyAttackSpender.DamageMultiplierPerComboPoint, 0.20
Mara.HeavyAttackSpender.Cost, 40.0
Mara.AoeAttackSpender.AgilityCoefficient, 0.858
Mara.AoeAttackSpender.MaxRange, 800.0
Mara.AoeAttackSpender.NumTargetsDamageFalloffThreshold, 8.0
Mara.AoeAttackSpender.Radius, 800.0
Mara.AoeAttackSpender.DamageMultiplierPerComboPoint, 0.20
Mara.AoeAttackSpender.Cost, 45.0
Mara.AoeAttackSpender.Talent.IncreasedDamageWhenBleed.DamageMultiplier, 1.20
Mara.AoeAttackSpender.Talent.CloneAttack.ActivationChancePerTarget, 0.15		;now triggers on bleedSpender
Mara.AoeAttackSpender.Talent.CloneAttack.TickPeriodMultiplier, 0.87 	; 1/1.15
Mara.AoeAttackSpender.Talent.DamageToPoisonDot.Duration, 6.0
Mara.AoeAttackSpender.Talent.DamageToPoisonDot.TickInterval, 2.0
Mara.AoeAttackSpender.Talent.DamageToPoisonDot.DamageToDotDamageMultiplier, 0.25
Mara.EnergyDamageSelfBuff.Duration, 12.0
Mara.EnergyDamageSelfBuff.DamageMultiplier, 1.1
Mara.EnergyDamageSelfBuff.EnergyGainMultiplier, 1.20
Mara.EnergyDamageSelfBuff.Cooldown, 60.0
Mara.ApplyPoisonSelfBuff.Duration, 12.0
Mara.ApplyPoisonSelfBuff.Cooldown, 30.0
Mara.BleedAttackSpender.InitialDamage.AgilityCoefficient, 2.73
Mara.BleedAttackSpender.InitialDamage.DamageMultiplierPerComboPoint, 0.00
Mara.BleedAttackSpender.BaseDuration, 12.0
Mara.BleedAttackSpender.DurationIncreasePerComboPoint, 3.0
Mara.BleedAttackSpender.TickInterval, 3.0
Mara.BleedAttackSpender.AgilityCoefficient, 1.076
Mara.BleedAttackSpender.Cost, 20.0
Mara.BleedAttackSpender.EnergyGainPerTick, 5.0
Mara.BleedAttackSpender.Talent.HasteIncrease.AdditionalHaste, 0.10
