name,value
Meiko.SpiritProc.ResourceRefund.FlatSpiritPointGain, 2.0
Meiko.ComboPoints.ShouldSort, 1.0	; 0 is false while 1 and up is true 
Meiko.ComboPoints.IsHidden, 0.0		; 0 is false while 1 and up is true
Meiko.ComboPoints.FinisherCost, 2.0
Meiko.ComboBuilders.GlobalCooldown, 1.5
Meiko.Expertise.EnergyResourceIncrase, 0.5
Meiko.Expertise.ResourceIncreaseInterval, 2.0
Meiko.Expertise.BaseProcChance, 0.0
Meiko.Expertise.ExpertiseProcScaler, 0.0	; ProcChance = BaseProcChance + (Expertise * ExpertiseProcScaler) which means that a base of 0.15 and 100 Expertise and a Scaler of 0.2 gives a proc chance of 0.35
Meiko.Expertise.CastedSingleTargetProjectile.DamageIncrease, 0.0
Meiko.Expertise.Tank.CooldownReductionInSeconds, 0.0
Meiko.Expertise.Tank.ExpertiseProcScaler, 0.0	; Axel disabled for now   ProcChance = CooldownReductionInSeconds + (Expertise * ExpertiseProcScaler)
Meiko.Passive.SpiritProc.IncreasedArmorBuff.Duration, 12.0
Meiko.Passive.SpiritProc.IncreasedArmorBuff.ArmorScaler, 1.20
Meiko.Passive.SpiritProc.Talent.Absorb.Duration, 12.0
Meiko.Passive.SpiritProc.Talent.Absorb.AgilityCoefficient, 16.42
Meiko.Passive.SpiritProc.Talent.PassiveAddedSpirit, 0.03
Meiko.Passive.IncreasedDamageSelfBuff.Duration, 15.0
Meiko.Passive.IncreasedDamageSelfBuff.DamageScale, 0.05
Meiko.Passive.IncreasedDamageSelfBuff.MaxStacks, 5	; Also change this manually in GE
Meiko.Passive.IncreasedMoveSpeedSelfBuff.Duration, 10.0
Meiko.Passive.IncreasedMoveSpeedSelfBuff.IncreasedMoveSpeed, 1.15
Meiko.Passive.MonitorLethalDamage.RemainingHealthPercentage, 0.01
Meiko.Passive.MonitorLethalDamage.Buff.Duration, 3.0
Meiko.Passive.MonitorLethalDamage.Buff.IncomingDamageMultiplier, 0.01
Meiko.Passive.MonitorLethalDamage.Debuff.Duration, 600.0	; The cooldown of this passive
Meiko.Passive.TeamHealthMonitor.HealthThreshold, 0.35
Meiko.Passive.TeamHealthMonitor.Buff.Duration, 10.0
Meiko.Passive.TeamHealthMonitor.Buff.IncomingHealIncrease, 1.1
Meiko.Passive.TeamHealthMonitor.Buff.AbsorbIncrease, 1.1
Meiko.MeleeAutoAttack.SwingTimer, 1.9
Meiko.MeleeAutoAttack.AgilityCoefficient, 0.30
Meiko.MeleeAutoAttack.Spread, 0.1
Meiko.MeleeAutoAttack.DamageSoakBuff.CooldownReductionPerHit, 0.0	; Parries and blocks count but not misses and dodges
Meiko.MeleeAutoAttack.DamageSoakBuff.CooldownReductionPerHit.Crit, 0.0
Meiko.MeleeAutoAttack.GreenEnergyGain, 0.5
Meiko.MeleeAutoAttack.YellowEnergyGain, 0.5
Meiko.MeleeAutoAttack.Multi.StartDelay, 0.5
Meiko.MeleeAutoAttack.Multi.ChanceToActivate, 0.0
Meiko.MeleeAutoAttack.Multi.DamageScaleMultiplier, 2.00	; DamageDone * DamageScaleMultiplier * Expertise
Meiko.MeleeAutoAttack.Multi.Spread, 0.1
Meiko.MeleeAutoAttack.Multi.SelfHeal, 2.00
Meiko.HeavyDamageAndBuff.AgilityCoefficient, 1.70				; OLD - NOT USED
Meiko.HeavyDamageAndBuff.Spread, 0.1
Meiko.HeavyDamageAndBuff.MaxMeleeRange, 500
Meiko.HeavyDamageAndBuff.GreenEnergyCost, 50
Meiko.HeavyDamageAndBuff.YellowEnergyGain, 25
Meiko.HeavyDamageAndBuff.Cooldown, 5.0
Meiko.HeavyDamageAndBuff.Buff.Duration, 15.0
Meiko.HeavyDamageAndBuff.Buff.HasteIncrease, 0.25
Meiko.FrontalAoeDebuff.AgilityCoefficient, 1.064				; STONE STOMP
