name,value
IC_BossMagistrate.MeleeAutoAttack.Cooldown, 2.2
IC_BossMagistrate.MeleeAutoAttack.StrengthCoefficient, 7.26
IC_BossMagistrate.Frostbolt.InitialCooldown, 7.0
IC_BossMagistrate.Frostbolt.Cooldown, 12.0
IC_BossMagistrate.Frostbolt.PostAbilityPadding, 0.25
IC_BossMagistrate.Frostbolt.IntellectCoefficient, 14.26
IC_BossMagistrate.Frostbolt.CastTime, 2.0
IC_BossMagistrate.Frostbolt.MaxRange, 5000.0
IC_BossMagistrate.Frostbolt.Debuff.MovementSpeedMultiplier, 1.0
IC_BossMagistrate.Frostbolt.Debuff.Duration, 0.5
IC_BossMagistrate.Frostbolt.InterruptCooldown, 8.0
IC_BossMagistrate.IceSpikes.InitialCooldown, 24.0
IC_BossMagistrate.IceSpikes.Cooldown, 30.0
IC_BossMagistrate.IceSpikes.PostAbilityPadding, 1.5
IC_BossMagistrate.IceSpikes.MaxRange, 6000.0
IC_BossMagistrate.IceSpikes.TargetCount, 4.0
IC_BossMagistrate.IceSpikes.SpikeCount, 6.0
IC_BossMagistrate.IceSpikes.SpikeInterval, 0.75
IC_BossMagistrate.IceSpikes.DamageDelayFirst, 2.0
IC_BossMagistrate.IceSpikes.DamageDelay, 1.5
IC_BossMagistrate.IceSpikes.Radius, 225.0
IC_BossMagistrate.IceSpikes.IntellectCoefficient, 8.0
IC_BossMagistrate.IceSpikes.KnockbackForce, 900.0
IC_BossMagistrate.BigStun.InitialMinCooldown, 180.0
IC_BossMagistrate.BigStun.InitialMaxCooldown, 180.0
IC_BossMagistrate.BigStun.MinCooldown, 37.0
IC_BossMagistrate.BigStun.MaxCooldown, 40.0
IC_BossMagistrate.BigStun.MinPostAbilityPadding, 1.5
IC_BossMagistrate.BigStun.MaxPostAbilityPadding, 1.5
IC_BossMagistrate.BigStun.Radius, 11000.0
IC_BossMagistrate.BigStun.CastTime, 3.0
IC_BossMagistrate.BigStun.StunDuration, 10.0
IC_BossMagistrate.Redemption.InitialCooldown, 23.0
IC_BossMagistrate.Redemption.Cooldown, 18.0
IC_BossMagistrate.Redemption.PostAbilityPadding, 0.5
IC_BossMagistrate.Redemption.Dot.Duration, 21.0
IC_BossMagistrate.Redemption.Dot.Period, 1.5
IC_BossMagistrate.Redemption.Dot.IntellectCoefficient, 1.59
IC_BossMagistrate.Redemption.MaxRange, 6000.0
IC_BossMagistrate.Redemption.ShootProjectilesOnExpired.NumProjectiles, 6.0
IC_BossMagistrate.Redemption.ShootProjectilesOnExpired.IntellectCoefficient, 4.63
IC_BossMagistrate.Redemption.ShootProjectilesOnExpired.ProjectileSpeed, 1500.0
IC_BossMagistrate.Redemption.ShootProjectilesOnExpired.ProjectileRadius, 75.0
IC_BossMagistrate.Redemption.ShootProjectilesOnExpired.ProjectileLifetime, 5.0
IC_BossMagistrate.KnockbackCone.InitialCooldown, 24.0
IC_BossMagistrate.KnockbackCone.Cooldown, 25.0
IC_BossMagistrate.KnockbackCone.PostAbilityPadding, 0.5
IC_BossMagistrate.KnockbackCone.RootedDebuffDuration, 3.0
IC_BossMagistrate.KnockbackCone.ConeLength, 4000.0
IC_BossMagistrate.KnockbackCone.ConeAngle, 160.0
IC_BossMagistrate.KnockbackCone.KnockbackForce, 1750.0
IC_BossMagistrate.KnockbackCone.MaxRange, 800.0
IC_BossMagistrate.KnockbackCone.CastTime, 3.0
IC_BossMagistrate.KnockbackCone.AoeDamage.IntellectCoefficient, 14.87
IC_BossMagistrate.SelfHeal.LeechFraction, 0.00
IC_BossMagistrate.FrigidMist.InitialCooldown, 20.0
IC_BossMagistrate.FrigidMist.Cooldown, 33.0
IC_BossMagistrate.FrigidMist.PostAbilityPadding, 1.5
IC_BossMagistrate.FrigidMist.CastTime, 2.00
IC_BossMagistrate.FrigidMist.ChannelingTime, 3.00
IC_BossMagistrate.FrigidMist.TickInterval, 1.0
IC_BossMagistrate.FrigidMist.MaxSpawnDistanceFromCenter, 1500.0
IC_BossMagistrate.FrigidMist.MistRadius, 450.0
IC_BossMagistrate.FrigidMist.MovementSpeedMultiplier, 0.40
IC_BossMagistrate.FrigidMist.Damage.IntellectCoefficient, 1.41
IC_BossMagistrate.FrigidMist.Damage.TickInterval, 1.0
IC_Healer.AutoAttackMelee.StrengthCoefficient, 1.12
IC_Healer.AutoAttackMelee.Cooldown, 1.7
IC_Healer.AutoAttackMelee.MaxRange, 500.0 
IC_Healer.ChannelMultiTargetHeal.IntellectCoefficient, 0.50
IC_Healer.ChannelMultiTargetHeal.HasteBuffPercentage, 0.20
IC_Healer.ChannelMultiTargetHeal.InitialMinCooldown, 10.0
IC_Healer.ChannelMultiTargetHeal.InitialMaxCooldown, 15.0
IC_Healer.ChannelMultiTargetHeal.Cooldown, 30.0
