name,value
JS_TutorialSmallGoblin.MeleeAutoAttack.Spread, 0.4
JS_TutorialSmallGoblin.MeleeAutoAttack.MaxRange, 500.0
JS_TutorialSmallGoblin.MeleeAutoAttack.MinCooldown, 2.0
JS_TutorialSmallGoblin.MeleeAutoAttack.MaxCooldown, 2.0 
JS_TutorialGoblin.MeleeAutoAttack.StrengthCoefficient, 1.75
JS_TutorialGoblin.MeleeAutoAttack.Spread, 0.4
JS_TutorialGoblin.MeleeAutoAttack.MaxRange, 500.0
JS_TutorialGoblin.MeleeAutoAttack.MinCooldown, 2.25
JS_TutorialGoblin.MeleeAutoAttack.MaxCooldown, 2.25 
JS_TutorialOrc.MeleeAutoAttack.StrengthCoefficient,4.5
JS_TutorialOrc.MeleeAutoAttack.Spread, 0.4
JS_TutorialOrc.MeleeAutoAttack.MaxRange, 500.0
JS_TutorialOrc.MeleeAutoAttack.MinCooldown, 3.2
JS_TutorialOrc.MeleeAutoAttack.MaxCooldown, 3.2 
JS_TutorialOrcCaster.MeleeAutoAttack.StrengthCoefficient, 3.5
JS_TutorialOrcCaster.MeleeAutoAttack.Spread, 0.4
JS_TutorialOrcCaster.MeleeAutoAttack.MaxRange, 500.0
JS_TutorialOrcCaster.MeleeAutoAttack.MinCooldown, 3.0
JS_TutorialOrcCaster.MeleeAutoAttack.MaxCooldown, 3.0 
JS_TutorialOrcCaster.Heal.InitialMinCooldown, 2.0
JS_TutorialOrcCaster.Heal.InitialMaxCooldown, 2.0
JS_TutorialOrcCaster.Heal.MinCooldown, 5.0
JS_TutorialOrcCaster.Heal.MaxCooldown, 5.0
JS_TutorialOrcCaster.Heal.MinInterruptCooldown, 30.0
JS_TutorialOrcCaster.Heal.MaxInterruptCooldown, 30.0
JS_TutorialOrcCaster.Heal.CastTime, 3.0
JS_TutorialOrcCaster.Heal.MaxHealthPercentForHeal, 60.0 ; Anyone above this health percent will not be considered for the heal.
JS_TutorialOrcCaster.Heal.HealPercent, 100.0
JS_TutorialTroll.MeleeAutoAttack.StrengthCoefficient, 7.0
JS_TutorialTroll.MeleeAutoAttack.Spread, 0.4
JS_TutorialTroll.MeleeAutoAttack.MaxRange, 500.0
JS_TutorialTroll.MeleeAutoAttack.MinCooldown, 3.5
JS_TutorialTroll.MeleeAutoAttack.MaxCooldown, 3.5
JS_TutorialTroll.ThrowRock.Phase1.InitialMinCooldown, 0.0
JS_TutorialTroll.ThrowRock.Phase1.InitialMaxCooldown, 0.0
JS_TutorialTroll.ThrowRock.Phase1.MinCooldown, 0.5
JS_TutorialTroll.ThrowRock.Phase1.MaxCooldown, 0.5
JS_TutorialTroll.ThrowRock.Phase1.MinPostAbilityPadding, 0.0
JS_TutorialTroll.ThrowRock.Phase1.MaxPostAbilityPadding, 0.0
JS_TutorialTroll.ThrowRock.InitialMinCooldown, 8.0
JS_TutorialTroll.ThrowRock.InitialMaxCooldown, 12.0
JS_TutorialTroll.ThrowRock.MinCooldown, 12.0
JS_TutorialTroll.ThrowRock.MaxCooldown, 15.0
JS_TutorialTroll.ThrowRock.MinPostAbilityPadding, 1.2
JS_TutorialTroll.ThrowRock.MaxPostAbilityPadding, 1.2
JS_TutorialTroll.ThrowRock.CastTime, 3.5
JS_TutorialTroll.ThrowRock.RockDropDelay, 0.0 ; This is purely visual to know when to trigger VFX
JS_TutorialTroll.ThrowRock.ImpactDelay, 1.25 ; This is when the damage is dealt
JS_TutorialTroll.ThrowRock.MaxRange, 6000.0 ; Only start the cast on something closer than this
JS_TutorialTroll.ThrowRock.Phase1.StrengthCoefficient, 15
JS_TutorialTroll.ThrowRock.Phase1.Spread, 0.0
JS_TutorialTroll.ThrowRock.StrengthCoefficient, 15
JS_TutorialTroll.ThrowRock.Spread, 0.2
JS_TutorialTroll.ThrowRock.Radius, 200.0
JS_TutorialTroll.Cone.InitialMinCooldown, 12.0
JS_TutorialTroll.Cone.InitialMaxCooldown, 12.0
JS_TutorialTroll.Cone.MinCooldown, 8.0
JS_TutorialTroll.Cone.MaxCooldown, 12.0
JS_TutorialTroll.Cone.MinPostAbilityPadding, 1.0
JS_TutorialTroll.Cone.MaxPostAbilityPadding, 1.0
JS_TutorialTroll.Cone.CastTime, 3.0
JS_TutorialTroll.Cone.MaxRange, 1500.0 ; This is the range they will run up to to use the skill.
JS_TutorialTroll.Cone.MinRadius, 0.0
JS_TutorialTroll.Cone.MaxRadius, 1800.0
JS_TutorialTroll.Cone.Angle, 90.0
JS_TutorialTroll.Cone.Height, 500.0
JS_TutorialTroll.Cone.Damage.IntCoefficient, 10.0
JS_TutorialTroll.Cone.Damage.Spread, 0.4
JS_TutorialTroll.SpawnAdds.InitialMinCooldown, 1.0
JS_TutorialTroll.SpawnAdds.InitialMaxCooldown, 1.0
JS_TutorialTroll.SpawnAdds.MinCooldown, 12.0
JS_TutorialTroll.SpawnAdds.MaxCooldown, 20.0
JS_TutorialTroll.SpawnAdds.MinPostAbilityPadding, 1.0
JS_TutorialTroll.SpawnAdds.MaxPostAbilityPadding, 1.0
JS_TutorialTroll.SpawnAdds.CastTime, 2.5
JS_TutorialTroll.SpawnAdds.SpawnCount, 2.0
JS_TutorialTroll.SpawnAdds.Phase2.MaxCount, 3.0
JS_TutorialTroll.SpawnAdds.Phase3.MaxCount, 4.0
JS_TutorialTroll.ChangePhaseWhenClose.Radius, 1000.0
JS_TutorialTroll.RunAway.TriggerHealthPercent, 0.01
JS_TutorialTroll.PassiveAOEPools.SpawnHealthThreshold, 0.04
JS_TutorialTroll.PassiveAOEPools.SpawnTargetRadius, 5000 ; Distance it finds a random enemy to spawn under
JS_TutorialTroll.PassiveAOEPools.Pool.Radius, 250.0
JS_TutorialTroll.PassiveAOEPools.Pool.LifeSpan, 30.0 ; Seconds the pool remains on the ground
JS_TutorialTroll.PassiveAOEPools.Pool.BaseDamage, 40.0
JS_TutorialTroll.PassiveAOEPools.Pool.IntellectCoefficientPerTick, 5.0
JS_TutorialTroll.PassiveAOEPools.Pool.Spread, 0.4
JS_TutorialTroll.PassiveAOEPools.Pool.Period, 1.0
