name,value
MF_BossNecrolord.MeleeAutoAttack.MaxCooldown, 2.76
MF_BossNecrolord.MeleeAutoAttack.StrengthCoefficient, 7.31
MF_BossNecrolord.MeleeAutoAttack.Spread, 0.2
MF_BossNecrolord.MeleeAutoAttack.MaxRange, 500.0
MF_BossNecrolord.RangedAutoAttack.StrengthCoefficient, 7.31
MF_BossNecrolord.RangedAutoAttack.Spread, 0.2	
MF_BossNecrolord.RangedAutoAttack.MinCooldown, 2.76
MF_BossNecrolord.RangedAutoAttack.MaxCooldown, 2.76
MF_BossNecrolord.RangedAutoAttack.MinRange, 500.0
MF_BossNecrolord.RangedAutoAttack.MaxRange, 5000.0
MF_BossNecrolord.ChanneledNova.InitialMinCooldown, 50.0
MF_BossNecrolord.ChanneledNova.InitialMaxCooldown, 50.0
MF_BossNecrolord.ChanneledNova.MinCooldown, 60.0
MF_BossNecrolord.ChanneledNova.MaxCooldown, 60.0
MF_BossNecrolord.ChanneledNova.MinPostAbilityPadding, 0.0
MF_BossNecrolord.ChanneledNova.MaxPostAbilityPadding, 0.0
MF_BossNecrolord.ChanneledNova.MaxRange, 5000.0
MF_BossNecrolord.ChanneledNova.CastTime, 4.0
MF_BossNecrolord.ChanneledNova.ChannelDuration, 4.0
MF_BossNecrolord.ChanneledNova.TickInterval, 2.0
MF_BossNecrolord.ChanneledNova.MinRadius, 0.0
MF_BossNecrolord.ChanneledNova.Radius, 4200.0
MF_BossNecrolord.ChanneledNova.Angle, 270.0
MF_BossNecrolord.ChanneledNova.Height, 400.0
MF_BossNecrolord.ChanneledNova.IntCoefficient, 6.52
MF_BossNecrolord.ChanneledNova.DashSpeed, 8000.0
MF_BossNecrolord.ChanneledNova.MinDashDistance, 400.0
MF_BossNecrolord.MultiShot.InitialMinCooldown, 18.0
MF_BossNecrolord.MultiShot.InitialMaxCooldown, 18.0
MF_BossNecrolord.MultiShot.MinCooldown, 37.0
MF_BossNecrolord.MultiShot.MaxCooldown, 37.0
MF_BossNecrolord.MultiShot.MinPostAbilityPadding, 0.0
MF_BossNecrolord.MultiShot.MaxPostAbilityPadding, 0.0
MF_BossNecrolord.MultiShot.CastTime, 3.0
MF_BossNecrolord.MultiShot.Radius, 4000.0
MF_BossNecrolord.MultiShot.IntCoefficient, 3.19
MF_BossNecrolord.DeathCast.InitialMinCooldown, 60.0
MF_BossNecrolord.DeathCast.InitialMaxCooldown, 60.0
MF_BossNecrolord.DeathCast.MinCooldown, 60.0
MF_BossNecrolord.DeathCast.MaxCooldown, 60.0
MF_BossNecrolord.DeathCast.CCCooldown, 60.0
MF_BossNecrolord.DeathCast.MinPostAbilityPadding, 0.5
MF_BossNecrolord.DeathCast.MaxPostAbilityPadding, 0.5
MF_BossNecrolord.DeathCast.CastTime, 7.5
MF_BossNecrolord.DeathCast.IntCoefficient, 24.31
MF_BossNecrolord.DeathCast.DamageTakenFromDeathCastMultiplier, 5.0
MF_BossNecrolord.DeathCast.DamageTakenDuration, 30.0
MF_BossNecrolord.DispellableSoakDot.CastTime, 2.0
MF_BossNecrolord.DispellableSoakDot.InitialMinCooldown, 11.0
MF_BossNecrolord.DispellableSoakDot.InitialMaxCooldown, 11.0
MF_BossNecrolord.DispellableSoakDot.MinCooldown, 27.0
MF_BossNecrolord.DispellableSoakDot.MaxCooldown, 27.0
MF_BossNecrolord.DispellableSoakDot.MinPostAbilityPadding, 0.0
MF_BossNecrolord.DispellableSoakDot.MaxPostAbilityPadding, 0.0
MF_BossNecrolord.DispellableSoakDot.MaxRange, 5000.0
MF_BossNecrolord.DispellableSoakDot.Debuff.SoakRadius, 400.0
MF_BossNecrolord.DispellableSoakDot.Debuff.Duration, 18.00
MF_BossNecrolord.DispellableSoakDot.Debuff.TickInterval, 20.0
MF_BossNecrolord.DispellableSoakDot.Debuff.PrimaryAttributeCoefficient, 1.337
MF_BossNecrolord.DispellableSoakDot.SoakDamage.PrimaryAttributeCoefficient, 11.18
MF_BossNecrolord.SummonTotem.InitialMinCooldown, 30.0
MF_BossNecrolord.SummonTotem.InitialMaxCooldown, 30.0
MF_BossNecrolord.SummonTotem.MinCooldown, 60.0
MF_BossNecrolord.SummonTotem.MaxCooldown, 60.0
MF_BossNecrolord.SummonTotem.MinPostAbilityPadding, 0.0
MF_BossNecrolord.SummonTotem.MaxPostAbilityPadding, 0.0
MF_BossNecrolord.SummonTotem.Radius, 900.0
MF_BossNecrolord.SummonTotem.TotalTotems, 2.0
MF_BossNecrolord.SummonTotem.SummonDelay, 0.25
MF_BossNecrolord.ShootDeer.CastTime, 2.0				; KILLSHOT - is only fired when all players are dead to kill the deer and end the fight (in failure)
MF_BossNecrolord.ShootDeer.InitialMinCooldown, 4.0
MF_BossNecrolord.ShootDeer.InitialMaxCooldown, 4.0
MF_BossNecrolord.ShootDeer.MinCooldown, 4.0
MF_BossNecrolord.ShootDeer.MaxCooldown, 4.0
MF_BossNecrolord.ShootDeer.MaxRange, 5000.0
MF_BossNecrolord.ShootDeer.PrimaryAttributeCoefficient, 1337.0 ; one shot the deer
MF_BossTotem.Lifetime, 60.1
MF_BossTotem.AoePulse.InitialMinCooldown, 2.0
MF_BossTotem.AoePulse.InitialMaxCooldown, 2.0
MF_BossTotem.AoePulse.MinCooldown, 0.0
MF_BossTotem.AoePulse.MaxCooldown, 0.0
MF_BossTotem.AoePulse.Radius, 5000.0
MF_BossTotem.AoePulse.CastTime, 4.0
MF_BossTotem.AoePulse.PrimaryAttributeCoefficient, 2.04
MF_BossNecrolord.SummonCrystal.InitialMinCooldown, 30.0 			ABILITY CUT
MF_BossNecrolord.SummonCrystal.InitialMaxCooldown, 30.0
MF_BossNecrolord.SummonCrystal.MinCooldown, 60.0
MF_BossNecrolord.SummonCrystal.MaxCooldown, 60.0
MF_BossNecrolord.SummonCrystal.MinPostAbilityPadding, 0.5
MF_BossNecrolord.SummonCrystal.MaxPostAbilityPadding, 0.5
MF_BossNecrolord.SummonCrystal.MinRadius, 600.0
MF_BossNecrolord.SummonCrystal.MaxRadius, 900.0
MF_BossNecrolord.SummonCrystal.CollisionRadius, 200.0
MF_BossNecrolord.SummonCrystal.SummonDelay, 0.4
MF_BossNecrolord.SummonCrystal.DamageDelay, 3.0
MF_BossNecrolord.SummonCrystal.TickInterval, 3.0
MF_BossNecrolord.SummonCrystal.IntCoefficient, 1.5
MF_BossNecrolord.SpreadingDot.InitialMinCooldown, 11.0 ; 			ABILITY CUT
MF_BossNecrolord.SpreadingDot.InitialMaxCooldown, 11.0
MF_BossNecrolord.SpreadingDot.MinCooldown, 45.0
MF_BossNecrolord.SpreadingDot.MaxCooldown, 45.0
MF_BossNecrolord.SpreadingDot.MinPostAbilityPadding, 0.0
MF_BossNecrolord.SpreadingDot.MaxPostAbilityPadding, 0.0
MF_BossNecrolord.SpreadingDot.MaxRange, 2500.0
MF_BossNecrolord.SpreadingDot.CastTime, 2.0
