name,value
PR_BossAnchor.MeleeAutoAttack.MaxRange, 700.0
PR_BossAnchor.MeleeAutoAttack.Cooldown, 3.5
PR_BossAnchor.MeleeAutoAttack.CastingDuration, 0.65
PR_BossAnchor.MeleeAutoAttack.Radius, 400.0
PR_BossAnchor.CastedGrowingTankWave.InitialCooldown, 7.0			;FIRST MATE MARROW - WAVESTOMP
PR_BossAnchor.CastedGrowingTankWave.Cooldown, 17.0
PR_BossAnchor.CastedGrowingTankWave.MaxRange, 3000.0
PR_BossAnchor.CastedGrowingTankWave.CastingDuration, 3.0
PR_BossAnchor.CastedGrowingTankWave.StrengthCoefficient, 7.02
PR_BossAnchor.CastedGrowingTankWave.DebuffSlow.Duration, 10.0
PR_BossAnchor.CastedGrowingTankWave.DebuffSlow.MoveSpeedMultiplier, 0.30
PR_BossAnchor.CastedGrowingTankWave.DebuffSlow.HasteReduction, 0.50  
PR_BossAnchor.CastedGrowingTankWave.Duration, 2.0
PR_BossAnchor.CastedGrowingTankWave.Angle, 120.0
PR_BossAnchor.CastedGrowingTankWave.StartRadius, 250.0
PR_BossAnchor.CastedGrowingTankWave.MaxRadius, 3000.0
PR_BossAnchor.CastedGrowingTankWave.WaveThickness, 250.0
PR_BossAnchor.CastedGrowingTankWave.KnockbackForce, 2000.0
PR_BossAnchor.HighTide.InitialCooldown, 40.0						;FIRST MATE MARROW - HIGH TIDE
PR_BossAnchor.HighTide.Cooldown, 70.0
PR_BossAnchor.HighTide.PostAbilityPadding, 2.0
PR_BossAnchor.HighTide.PushSpeed, 1500.0
PR_BossAnchor.HighTide.PushSpeedWhenTethered, 150.0
PR_BossAnchor.HighTide.PushSpeedMultiBehindBoss, 4.0 ; Only applies when tethered
PR_BossAnchor.HighTide.BehindBossBufferDistance, 250.0 ; Only applies when tethered. At this distance behind the boss we apply the full PushSpeedMultiBehindBoss multiplier.
PR_BossAnchor.HighTide.CastTime, 6.0
PR_BossAnchor.HighTide.ChannelingTime, 21.5
PR_BossAnchor.HighTide.Sharks.SpawnInterval, 1.5
PR_BossAnchor.HighTide.Sharks.SpawnDistance, 2150.0
PR_BossAnchor.HighTide.Sharks.SpawnMinHalfAngle, 25.0
PR_BossAnchor.HighTide.Sharks.SpawnMaxHalfAngle, 60.0
PR_BossAnchor.HighTide.Sharks.SpawnCount, 10.0
PR_BossAnchor.HighTide.Water.TotalHeightToAdd, 3500.0
PR_BossAnchor.HighTide.Water.HeightAddSpeed, 1000.0
PR_BossAnchor.HighTide.Water.HeightReduceSpeed, 4000.0
PR_BossAnchor.HighTide.Damage.Interval, 2.0
PR_BossAnchor.HighTide.Damage.StrengthCoefficient, 1.96
PR_BossAnchor.HighTide.Damage.Spread, 0.2
PR_BossAnchor.HighTide.NPCMoveSpeedMultiplier, 0.3
PR_BossAnchor.HighTide.NPCKillRadius, 2500.0
PR_BossAnchor.HighTide.PlayerKillRadius, 2800.0
PR_BossAnchor.HighTide.PostAbilityAutoAttackDuration, 1.5 ; extra padding where boss cant trigger autoattack specifically
PR_BossAnchor.HighTide.Tether.CastTime, 0.667
PR_BossAnchor.HighTide.Tether.PullSpeed, 800.0      ; At LeashLength we apply this speed. Beyond that a little more speed will be applied before snapping.
PR_BossAnchor.HighTide.Tether.LeashLength, 600.0    ; At this length we apply the full PullSpeed
