name,value
SH_Spiderling.MeleeAutoAttack.MaxCooldown, 1.8 
SH_Spiderling.MeleeAutoAttack.MaxRange, 250.0
SH_Spiderling.MeleeAutoAttack.StrengthCoefficient, 0.42
SH_Spiderling.Leap.InitialMinCooldown, 6.0
SH_Spiderling.Leap.InitialMaxCooldown, 12.0
SH_Spiderling.Leap.MinCooldown, 8.0
SH_Spiderling.Leap.MaxCooldown, 8.0
SH_Spiderling.Leap.LeapDuration, 0.5
SH_Spiderling.Leap.PreLeapDelay, 0.2
SH_Spiderling.Leap.MinRange, 600.0
SH_Spiderling.Leap.MaxRange, 1200.0
SH_Spiderling.Leap.StrengthCoefficient, 0.64
SH_Spiderling.PickRandomTarget.MaxRange, 3500.0
SH_Spiderling.PickRandomTarget.ThreatToAdd," 1.0     ; ""initiation threat"" will also be added (InitiationThreat = PrimaryAttribute * IncomingDamageThreatMultiplier * InitiationThreatMultiplier)"
SH_GravesnareKidnapper.MeleeAutoAttack.MinCooldown, 1.8
SH_GravesnareKidnapper.MeleeAutoAttack.MaxCooldown, 1.8 
SH_GravesnareKidnapper.MeleeAutoAttack.MaxRange, 500.0
SH_GravesnareKidnapper.MeleeAutoAttack.StrengthCoefficient, 1.64
SH_GravesnareKidnapper.Kidnap.InitialMinCooldown, 16.0
SH_GravesnareKidnapper.Kidnap.InitialMaxCooldown, 24.0
SH_GravesnareKidnapper.Kidnap.MinCooldown, 32.0
SH_GravesnareKidnapper.Kidnap.MaxCooldown, 32.0
SH_GravesnareKidnapper.Kidnap.InterruptCooldown, 25.0
SH_GravesnareKidnapper.Kidnap.CCCooldown, 12.0
SH_GravesnareKidnapper.Kidnap.CastTime, 1.5
SH_GravesnareKidnapper.Kidnap.LeapDistance, 1000.0
SH_GravesnareKidnapper.Kidnap.LeapDuration, 0.5
SH_GravesnareKidnapper.Kidnap.Pull.Duration, 8.0
SH_GravesnareKidnapper.Kidnap.Pull.Speed, 800.0
SH_GravesnareKidnapper.Kidnap.Pull.MinDistance, 200.0 ; When the target is within this distance the pull stops and the target is bitten.
SH_GravesnareKidnapper.Kidnap.Pull.BreakDistance, 5000.0
SH_GravesnareKidnapper.Kidnap.MaxShootRange, 4500.0
SH_GravesnareKidnapper.Kidnap.MaxRange, 3000.0
SH_GravesnareKidnapper.Kidnap.StrengthCoefficient, 1.0
SH_GravesnareKidnapper.Kidnap.PostAbilityPadding, 2.0
SH_GravesnareKidnapper.KidnapBite.MaxRange, 800.0
SH_GravesnareKidnapper.KidnapBite.StrengthCoefficient, 12.0
SH_GravesnareKidnapper.KidnapBite.StunDuration, 3.0
SH_GravesnareKidnapper.KidnapBite.HealFraction, 0.2
SH_GravesnareKidnapper.KidnapBite.PostAbilityPadding, 3.0
SH_GravesnareKidnapper.SlowCone.InitialMinCooldown, 6.0
SH_GravesnareKidnapper.SlowCone.InitialMaxCooldown, 10.0
SH_GravesnareKidnapper.SlowCone.MinCooldown, 28.0
SH_GravesnareKidnapper.SlowCone.MaxCooldown, 28.0
SH_GravesnareKidnapper.SlowCone.PostAbilityPadding, 3.0
SH_GravesnareKidnapper.SlowCone.CastTime, 1.5
SH_GravesnareKidnapper.SlowCone.MaxRange, 1500.0
SH_GravesnareKidnapper.SlowCone.ConeRadius, 2000.0
SH_GravesnareKidnapper.SlowCone.ConeAngle, 45.0
SH_GravesnareKidnapper.SlowCone.MoveSpeedMultiplier, 0.6
SH_GravesnareKidnapper.SlowCone.Duration, 12.0
SH_GravesnareKidnapper.SlowCone.StrengthCoefficient, 6.0
SH_GravesnareKidnapper.ConeAoeProjectiles.InitialMinCooldown, 9.0
SH_GravesnareKidnapper.ConeAoeProjectiles.InitialMaxCooldown, 24.0
SH_GravesnareKidnapper.ConeAoeProjectiles.MinCooldown, 32.0
SH_GravesnareKidnapper.ConeAoeProjectiles.MaxCooldown, 32.0
SH_GravesnareKidnapper.ConeAoeProjectiles.MinPostAbilityPadding, 3.0
SH_GravesnareKidnapper.ConeAoeProjectiles.MaxPostAbilityPadding, 3.0
SH_GravesnareKidnapper.ConeAoeProjectiles.MaxRange, 3000.0
SH_GravesnareKidnapper.ConeAoeProjectiles.CastTime, 0.5
SH_GravesnareKidnapper.ConeAoeProjectiles.ChannelDuration, 2.5
SH_GravesnareKidnapper.ConeAoeProjectiles.ChannelTickInterval," .0333325         ;  Each tick shoots a projectile. We might end up shooting fewer projectiles if we don't have room to fit more of them inside the cone. So try to set this so that the entire ground is filled and the channel is just done (there is a ""right"" answer for this but it is quite hard to calculate so I expose it here instead). "
SH_GravesnareKidnapper.ConeAoeProjectiles.NumTicksToIgnoreFirstCast, 30.0 		; does not spawn projectiles or pools until after these number of ticks
SH_GravesnareKidnapper.ConeAoeProjectiles.PieMinRadius, 300.0
SH_GravesnareKidnapper.ConeAoeProjectiles.PieMaxRadius, 2500.0
SH_GravesnareKidnapper.ConeAoeProjectiles.Angle, 30.0   
SH_GravesnareKidnapper.ConeAoeProjectiles.MinDistance, 450.0                 ; Distance between ground circles.
SH_GravesnareKidnapper.ConeAoeProjectiles.DamageRadius, 225.0                ; Radius of ground circles.
SH_GravesnareKidnapper.ConeAoeProjectiles.PrimaryAttributeCoefficient, 3.0
SH_GravesnareKidnapper.ConeAoeProjectiles.Dot.PrimaryAttributeCoefficient, 1.68
SH_GravesnareKidnapper.ConeAoeProjectiles.Dot.TickInterval, 2.0
SH_GravesnareKidnapper.ConeAoeProjectiles.Dot.MoveSpeedMultiplier, 0.5
SH_GravesnareKidnapper.ConeAoeProjectiles.PoolLifetime, 30.0 ; how long the pools stay
SH_RotheartRecluse.MeleeAutoAttack.MinCooldown, 1.4
SH_RotheartRecluse.MeleeAutoAttack.MaxCooldown, 1.4 
SH_RotheartRecluse.MeleeAutoAttack.MaxRange, 500.0
SH_RotheartRecluse.MeleeAutoAttack.StrengthCoefficient, 1.2
SH_RotheartRecluse.MeleeDot.InitialMinCooldown, 4.0
SH_RotheartRecluse.MeleeDot.InitialMaxCooldown, 16.0
SH_RotheartRecluse.MeleeDot.MinCooldown, 20.0
SH_RotheartRecluse.MeleeDot.MaxCooldown, 20.0
SH_RotheartRecluse.MeleeDot.InterruptCooldown, 16.0
SH_RotheartRecluse.MeleeDot.MinPostAbilityPadding, 0.0
SH_RotheartRecluse.MeleeDot.MaxPostAbilityPadding, 0.0
SH_RotheartRecluse.MeleeDot.CastTime, 1.5
SH_RotheartRecluse.MeleeDot.MaxRange, 500.0
SH_RotheartRecluse.MeleeDot.Duration, 6.0
SH_RotheartRecluse.MeleeDot.TickInterval, 2.0
SH_RotheartRecluse.MeleeDot.StrengthCoefficient, 3.325
SH_RotheartRecluse.DotProjectile.InitialMinCooldown, 8.0             ; Heartstopper
SH_RotheartRecluse.DotProjectile.InitialMaxCooldown, 11.0
SH_RotheartRecluse.DotProjectile.MinCooldown, 10.0
SH_RotheartRecluse.DotProjectile.MaxCooldown, 10.0
SH_RotheartRecluse.DotProjectile.InterruptCooldown, 16.0
