name,value
UM_GorestainedButcher.MeleeAutoAttack.MaxRange, 700.0
UM_GorestainedButcher.MeleeAutoAttack.Cooldown, 2.7
UM_GorestainedButcher.MeleeAutoAttack.CastingDuration, 0.67
UM_GorestainedButcher.MeleeAutoAttack.Radius, 400.0
UM_GorestainedButcher.ChanneledAttack.StrengthCoefficient, 1.98
UM_GorestainedButcher.ChanneledAttack.MaxRange, 550.0
UM_GorestainedButcher.ChanneledAttack.InitialMinCooldown, 10.0
UM_GorestainedButcher.ChanneledAttack.InitialMaxCooldown, 24.0
UM_GorestainedButcher.ChanneledAttack.MinCooldown, 30.0
UM_GorestainedButcher.ChanneledAttack.MaxCooldown, 30.0
UM_GorestainedButcher.ChanneledAttack.MinPostAbilityPadding, 0.5
UM_GorestainedButcher.ChanneledAttack.MaxPostAbilityPadding, 0.5
UM_GorestainedButcher.ChanneledAttack.Duration, 8.0
UM_GorestainedButcher.ChanneledAttack.TickInterval, 0.5
UM_GorestainedButcher.ChanneledAttack.SelfMoveSpeedScaler, 0.25
UM_GorestainedButcher.ChanneledAttack.MinRadius, 60.0
UM_GorestainedButcher.ChanneledAttack.MaxRadius, 800.0
UM_GorestainedButcher.ChanneledAttack.Angle, 75.0
UM_GorestainedButcher.Enrage.InitialMinCooldown, 22.0
UM_GorestainedButcher.Enrage.InitialMaxCooldown, 28.0
UM_GorestainedButcher.Enrage.Cooldown, 24.0                                     ; Cooldown starts when the shield goes down.
UM_GorestainedButcher.Enrage.MinPostAbilityPadding, 0.5
UM_GorestainedButcher.Enrage.MaxPostAbilityPadding, 0.5
UM_GorestainedButcher.Enrage.CastTime, 1.0
UM_GorestainedButcher.Enrage.AbsorbMaxHealthFraction, 0.2
UM_GorestainedButcher.Enrage.SizeScale, 1.2
UM_GorestainedButcher.Enrage.AttackSpeedMultiplier, 1.3
UM_GorestainedButcher.Enrage.MoveSpeedMultiplier, 1.3
UM_GorestainedButcher.ChanneledAoeDamage.InitialMinCooldown, 6.0
UM_GorestainedButcher.ChanneledAoeDamage.InitialMaxCooldown, 20.0
UM_GorestainedButcher.ChanneledAoeDamage.MinCooldown, 24.0
UM_GorestainedButcher.ChanneledAoeDamage.MaxCooldown, 24.0
UM_GorestainedButcher.ChanneledAoeDamage.MinPostAbilityPadding, 0.8
UM_GorestainedButcher.ChanneledAoeDamage.MaxPostAbilityPadding, 0.8
UM_GorestainedButcher.ChanneledAoeDamage.CastTime, 1.5
UM_GorestainedButcher.ChanneledAoeDamage.ChannelDuration, 4.0
UM_GorestainedButcher.ChanneledAoeDamage.TickInterval, 2.0
UM_GorestainedButcher.ChanneledAoeDamage.MaxRadius, 5000.0
UM_GorestainedButcher.ChanneledAoeDamage.StrengthCoefficient, 1.91
UM_HornedSeer.MeleeAutoAttack.StrengthCoefficient, 1.27
UM_HornedSeer.MeleeAutoAttack.MaxRange, 500.0
UM_HornedSeer.MeleeAutoAttack.MinCooldown, 1.95
UM_HornedSeer.MeleeAutoAttack.MaxCooldown, 1.95
UM_HornedSeer.CastProjectile.InitialMinCooldown, 0.0
UM_HornedSeer.CastProjectile.InitialMaxCooldown, 0.0
UM_HornedSeer.CastProjectile.MinCooldown, 0.0
UM_HornedSeer.CastProjectile.MaxCooldown, 0.0
UM_HornedSeer.CastProjectile.MinPostAbilityPadding, 0.0
UM_HornedSeer.CastProjectile.MaxPostAbilityPadding, 0.0
UM_HornedSeer.CastProjectile.MaxRange, 3000.0
UM_HornedSeer.CastProjectile.CastTime, 2.0
UM_HornedSeer.CastProjectile.IntCoefficient, 2.8
UM_HornedSeer.CastProjectile.InterruptCooldown, 6.0
UM_HornedSeer.OrbProjectile.InitialMinCooldown, 4.0
UM_HornedSeer.OrbProjectile.InitialMaxCooldown, 7.0
UM_HornedSeer.OrbProjectile.MinCooldown, 10.0
UM_HornedSeer.OrbProjectile.MaxCooldown, 10.0
UM_HornedSeer.OrbProjectile.MinPostAbilityPadding, 0.0
UM_HornedSeer.OrbProjectile.MaxPostAbilityPadding, 0.0
UM_HornedSeer.OrbProjectile.InterruptCooldown, 6.0
UM_HornedSeer.OrbProjectile.MaxRange, 3000.0
UM_HornedSeer.OrbProjectile.CastTime, 3.0
UM_HornedSeer.OrbProjectile.Speed, 900.0
UM_HornedSeer.OrbProjectile.Radius, 100.0
UM_HornedSeer.OrbProjectile.Duration, 10.0
UM_HornedSeer.OrbProjectile.IntCoefficient, 4.75
UM_HornedSeer.OrbProjectile.MaxHealthFractionLoss, 0.00
UM_HornedSeer.OrbProjectile.Debuff.DamageTakenMultiplier, 1.02
UM_HornedSeer.OrbProjectile.Debuff.Duration, 9.0
UM_HornedSeer.ChanneledOrbProjectiles.InitialMinCooldown, 9.0
UM_HornedSeer.ChanneledOrbProjectiles.InitialMaxCooldown, 24.0
UM_HornedSeer.ChanneledOrbProjectiles.MinCooldown, 19.0
UM_HornedSeer.ChanneledOrbProjectiles.MaxCooldown, 19.0
UM_HornedSeer.ChanneledOrbProjectiles.InterruptCooldown, 16.0
UM_HornedSeer.ChanneledOrbProjectiles.MinPostAbilityPadding, 0.0
UM_HornedSeer.ChanneledOrbProjectiles.MaxPostAbilityPadding, 0.0
UM_HornedSeer.ChanneledOrbProjectiles.MaxRange, 3000.0
UM_HornedSeer.ChanneledOrbProjectiles.ChannelingDuration, 3.0
