name,value
VV_Shared.IceBite.IncomingDamageMultiplier, 1.05
VV_BossFrostTroll.MeleeAutoAttack.StrengthCoefficient, 8.52
VV_BossFrostTroll.MeleeAutoAttack.Spread, 0.2
VV_BossFrostTroll.MeleeAutoAttack.MaxRange, 850.0
VV_BossFrostTroll.MeleeAutoAttack.MinCooldown, 3.5
VV_BossFrostTroll.MeleeAutoAttack.MaxCooldown, 3.5
VV_BossFrostTroll.DotAura.CastDuration, 2.0
VV_BossFrostTroll.DotAura.HealthFractionLostPerStack, 0.2 ; 
VV_BossFrostTroll.DotAura.IntCoefficient, 0.3996
VV_BossFrostTroll.DotAura.TickInterval, 1.5
VV_BossFrostTroll.DotAura.Radius, 1200.0
VV_BossFrostTroll.DotAura.MaxStackCount, 10.0
VV_BossFrostTroll.DotAura.StandingStillToRemoveAStackDuration, 0.5
VV_BossFrostTroll.DotAura.ReducedDamageScaleIfFireSonIsDead, 0.8
VV_BossFrostTroll.DotAura.ApplicationPeriod, 0.5 ; maximum applied once per period
VV_BossFrostTroll.Stomp.InitialMinCooldown, 10.0
VV_BossFrostTroll.Stomp.InitialMaxCooldown, 10.0
VV_BossFrostTroll.Stomp.MinCooldown, 12.0
VV_BossFrostTroll.Stomp.MaxCooldown, 12.0
VV_BossFrostTroll.Stomp.MinPostAbilityPadding, 0.0
VV_BossFrostTroll.Stomp.MaxPostAbilityPadding, 0.0
VV_BossFrostTroll.Stomp.CastTime, 2.25
VV_BossFrostTroll.Stomp.Radius, 700.0
VV_BossFrostTroll.Stomp.StrengthCoefficient, 3.6
VV_BossFrostTroll.Stomp.Spread, 0.2
VV_BossFrostTroll.Stomp.GroundEffect.Duration, 3600.0 ; they are destroyed when the boss dies or reset
VV_BossFrostTroll.Stomp.GroundEffect.RadiusStart, 600.0
VV_BossFrostTroll.Stomp.GroundEffect.RadiusEnd, 1200.0
VV_BossFrostTroll.Stomp.GroundEffect.RadiusGrowthTime, 6.0
VV_BossFrostTroll.Stomp.GroundEffect.TickInterval, 2.0
VV_BossFrostTroll.Stomp.GroundEffect.StrengthCoefficient, 2.5
VV_BossFrostTroll.Stomp.GroundEffectForIce.TickInterval, 0.5
VV_BossFrostTroll.Stomp.GroundEffectForIce.MaxHealthDamageCoefficient, 0.2 ; does 20 percent health as damage per tick to the iceblock
VV_BossFrostTroll.Stomp.Rock.MinDistanceFromStomp, 1000.0
VV_BossFrostTroll.Stomp.Rock.MaxDistanceFromStomp, 2000.0
VV_BossFrostTroll.Stomp.Rock.ImpactRadius, 300.0
VV_BossFrostTroll.Stomp.Rock.StrengthCoefficient, 4.5
VV_BossFrostTroll.Stomp.Rock.Count, 8.0
VV_BossFrostTroll.Stomp.Rock.MinDistanceFromRocks, 500.0
VV_BossFrostTroll.IceSpikes.MinCooldown, 18.0
VV_BossFrostTroll.IceSpikes.MaxCooldown, 18.0
VV_BossFrostTroll.IceSpikes.InitialMinCooldown, 16.0
VV_BossFrostTroll.IceSpikes.InitialMaxCooldown, 16.0
VV_BossFrostTroll.IceSpikes.MaxRange, 6000.0
VV_BossFrostTroll.IceSpikes.TargetCount, 4.0
VV_BossFrostTroll.IceSpikes.ChannelingDuration, 2.0
VV_BossFrostTroll.IceSpikes.SpikeInterval, 0.66
VV_BossFrostTroll.IceSpikes.DamageDelay, 2.25
VV_BossFrostTroll.IceSpikes.Radius, 200.0
VV_BossFrostTroll.IceSpikes.SpikeCollisionRadius, 160.0
VV_BossFrostTroll.IceSpikes.StrengthCoefficient, 1.5
VV_BossFrostTroll.IceSpikes.Spread, 0.2
VV_BossFrostTroll.IceSpikes.KnockbackForce, 900.0
VV_BossFrostTroll.Smash.InitialMinCooldown, 20.0
VV_BossFrostTroll.Smash.InitialMaxCooldown, 20.0
VV_BossFrostTroll.Smash.MinCooldown, 24.0
VV_BossFrostTroll.Smash.MaxCooldown, 24.0
VV_BossFrostTroll.Smash.Radius, 6000.0
VV_BossFrostTroll.Smash.CastTime, 5.0
VV_BossFrostTroll.Smash.Hit.StrengthCoefficient, 1.0
VV_BossFrostTroll.Smash.Hit.Spread, 0.2
VV_BossFrostTroll.Smash.IceBlockHit.StrengthCoefficient, 3.0
VV_BossFrostTroll.Smash.IceBlockHit.Spread, 0.2
VV_BossFrostTroll.Smash.SpikeExplosion.Radius, 500.0
VV_BossFrostTroll.Smash.SpikeExplosion.StrengthCoefficient, 1.5
VV_BossFrostTroll.Smash.SpikeExplosion.Spread, 0.2
VV_BossFrostTroll.Kaldurson.Fire.DamageScale, 1.05 		; fireson is dead
VV_BossFrostTroll.Kaldurson.Fire.AuraDamageScale, 0.5 	; fireson is alive
VV_BossFrostTroll.Kaldurson.Ice.DamageScale, 1.05 		; iceson is dead
VV_BossFrostTroll.Kaldurson.Ice.AuraDamageScale, 0.5 	; iceson is alive
VV_BossFrostTroll.SingleTargetDot.InitialMinCooldown, 12.0
VV_BossFrostTroll.SingleTargetDot.InitialMaxCooldown, 12.0
VV_BossFrostTroll.SingleTargetDot.MinCooldown, 24.0
VV_BossFrostTroll.SingleTargetDot.MaxCooldown, 24.0
VV_BossFrostTroll.SingleTargetDot.CastTime, 1.5
VV_BossFrostTroll.SingleTargetDot.MinPostAbilityPadding, 1.0
VV_BossFrostTroll.SingleTargetDot.MaxPostAbilityPadding, 1.0
VV_BossFrostTroll.SingleTargetDot.Dot.Duration, 3.995 ; it ignores partial ticks so this makes sure we only get 4 ticks
VV_BossFrostTroll.SingleTargetDot.Dot.TickInterval, 2.0
VV_BossFrostTroll.SingleTargetDot.Dot.StrengthCoefficient, 5.52
VV_BossFrostTroll.SingleTargetDot.Dot.Spread, 0.2
VV_BossFrostTroll.SingleTargetDot.ExpireDamage.StrengthCoefficient, 5.52
VV_BossFrostTroll.SingleTargetDot.MaxRange, 850.0
VV_BossFrostTroll.SingleTargetDot.FireAbilityDamageMultiplier, 1.0
VV_BossFrostTroll.StationaryDot.CastTime, 1.5
VV_BossFrostTroll.StationaryDot.MaxRadius, 5000.0
VV_BossFrostTroll.StationaryDot.DebuffApplyCheckInterval, 1.5
VV_BossFrostTroll.StationaryDot.MovingDurationToRemoveStack, 0.25 ; time to move to remove 1 stack
VV_BossFrostTroll.StationaryDot.TickInterval, 1.5
VV_BossFrostTroll.StationaryDot.IntCoefficient, 0.3996
VV_BossFrostTroll.StationaryDot.Spread, 0.2
VV_BossFrostTroll.SlowAura.Radius, 4000.0
VV_BossFrostTroll.SlowAura.MoveSpeedMultiplier, 0.8
VV_BossFrostTroll.LeapSlam.InitialMinCooldown, 1.0
VV_BossFrostTroll.LeapSlam.InitialMaxCooldown, 1.0
VV_BossFrostTroll.LeapSlam.MinCooldown, 24.0
VV_BossFrostTroll.LeapSlam.MaxCooldown, 24.0
VV_BossFrostTroll.LeapSlam.MinPostAbilityPadding, 2.0
VV_BossFrostTroll.LeapSlam.MaxPostAbilityPadding, 2.0
VV_BossFrostTroll.LeapSlam.MaxRange, 3000.0
VV_BossFrostTroll.LeapSlam.CastTime, 2.5
VV_BossFrostTroll.LeapSlam.LeapTime, 0.6
VV_BossFrostTroll.LeapSlam.Radius, 800.0
VV_BossFrostTroll.LeapSlam.StrengthCoefficient, 1.8
VV_BossFrostTroll.LeapSlam.Spread, 0.2
VV_BossFrostTroll.IceTomb.MinCooldown, 45.0
VV_BossFrostTroll.IceTomb.MaxCooldown, 45.0
VV_BossFrostTroll.IceTomb.InitialMinCooldown, 30.0
VV_BossFrostTroll.IceTomb.InitialMaxCooldown, 30.0
VV_BossFrostTroll.IceTomb.MinPostAbilityPadding, 0.5
VV_BossFrostTroll.IceTomb.MaxPostAbilityPadding, 0.5
VV_BossFrostTroll.IceTomb.MaxRange, 5000.0
VV_BossFrostTroll.IceTomb.CastTime, 3.0
VV_BossFrostTroll.ChangeAura.Cooldown.FrostLong, 24.0
VV_BossFrostTroll.ChangeAura.Cooldown.FrostShort, 24.0
VV_BossFrostTroll.ChangeAura.Cooldown.FireLong, 24.0
VV_BossFrostTroll.ChangeAura.Cooldown.FireShort, 24.0
VV_BossKaldursonFire.MeleeAutoAttack.StrengthCoefficient, 7.31
VV_BossKaldursonFire.MeleeAutoAttack.Spread, 0.2
VV_BossKaldursonFire.MeleeAutoAttack.MaxRange, 850.0
VV_BossKaldursonFire.MeleeAutoAttack.MinCooldown, 3.0
VV_BossKaldursonFire.MeleeAutoAttack.MaxCooldown, 3.0
VV_BossKaldursonFire.DotAura.CastDuration, 2.0
VV_BossKaldursonFire.DotAura.IntCoefficient, 0.3996
VV_BossKaldursonFire.DotAura.TickInterval, 1.5
VV_BossKaldursonFire.DotAura.Radius, 1200.0
VV_BossKaldursonFire.DotAura.MaxStackCount, 10.0
VV_BossKaldursonFire.DotAura.StandingStillToRemoveAStackDuration, 0.5
VV_BossKaldursonFire.DotAura.ApplicationPeriod, 0.5 ; maximum applied once per period
VV_BossKaldursonFire.Stomp.InitialMinCooldown, 10.0
VV_BossKaldursonFire.Stomp.InitialMaxCooldown, 10.0
VV_BossKaldursonFire.Stomp.MinCooldown, 12.0
VV_BossKaldursonFire.Stomp.MaxCooldown, 12.0
VV_BossKaldursonFire.Stomp.MinPostAbilityPadding, 0.0
VV_BossKaldursonFire.Stomp.MaxPostAbilityPadding, 0.0
VV_BossKaldursonFire.Stomp.CastTime, 2.25
VV_BossKaldursonFire.Stomp.Radius, 600.0
VV_BossKaldursonFire.Stomp.StrengthCoefficient, 2.4
VV_BossKaldursonFire.Stomp.Spread, 0.2
VV_BossKaldursonFire.Stomp.GroundEffect.Duration, 300.0 ; they are destroyed when the boss dies or reset
VV_BossKaldursonFire.Stomp.GroundEffect.RadiusStart, 600.0
VV_BossKaldursonFire.Stomp.GroundEffect.RadiusEnd, 1200.0
VV_BossKaldursonFire.Stomp.GroundEffect.RadiusGrowthTime, 6.0
VV_BossKaldursonFire.Stomp.GroundEffect.TickInterval, 2.0
VV_BossKaldursonFire.Stomp.GroundEffect.StrengthCoefficient, 1.5
