name,value
ColdSnap.SpawnPeriodMin, 35.0
ColdSnap.SpawnPeriodMax, 50.0
ColdSnap.WindupDuration, 3.0
ColdSnap.AoeRadius, 600.0
ColdSnap.ExplosionDelay, 2.0
ColdSnap.StunDuration, 2.0
ColdSnap.FlatDamage, 1800.0     ; This will scale with dungeon difficulty (and other damage scale:y things)!
ColdSnap.EnemyDamageScaler, 2.0
ColdSnap.RootDuration, 3.0
ColdSnap.HeroBuff.IncomingMagicDamageMultiplier, 1.0
BloodShardVolley.TargetingRange, 6000.0
BloodShardVolley.DamageMaxHealthFactor, 0.02
BloodShardVolley.HeroBuff.CooldownReductionIncrease, 0.0
MeteorRain.SpawnPeriodMin, 40.0
MeteorRain.SpawnPeriodMax, 55.0
MeteorRain.PlacementMaxRadius, 500.0
MeteorRain.IndicatorDuration, 3.0
MeteorRain.Meteor.Radius, 100.0
MeteorRain.Meteor.StunDuration, 4.0
MeteorRain.Meteor.FlatDamage, 6500.0       ; This will scale with dungeon difficulty (and other damage scale:y things)!
MeteorRain.Fragment.Speed, 1500.0
MeteorRain.Fragment.Radius, 72.0
MeteorRain.Fragment.StunDuration, 2.0
MeteorRain.Fragment.FlatDamage, 2400.0     ; This will scale with dungeon difficulty (and other damage scale:y things)!
MeteorRain.Fragment.LifeTime, 10.0
MeteorRain.HeroBuff.MovementSpeedScaler, 1.10	;disabled
MeteorRain.HeroGainSpiritPointsPerMeteorImpact, 2.0
MalevolentSpirits.IncomingDamageMultiplier, 0.5
MalevolentSpirits.HasteMultiplier, 1.2
MalevolentSpirits.SpawnPerPercent.Dungeon, 15.0 			; After %-amount of killscore a new spirit spawns
MalevolentSpirits.SpawnPerPercent.Adventure, 22.0 			; After %-amount of killscore a new spirit spawns
MalevolentSpirits.LifeTime, 30.0
MalevolentSpirits.SpawnDistanceFromTarget, 150.0
MalevolentSpirits.Range, 4000.0
MalevolentSpirits.OnDeathAbility.PlayerRestoreMaxHealthPercentage, 0.85
MalevolentSpirits.OnDeathAbility.PlayerRestoreMaxManaPercentage, 0.50
MalevolentSpirits.HeroBuff.MaxHealthScaler, 1.1		;old and disabled
MalevolentSpirits.HeroBuff.MaxManaScaler, 1.05		;old and disabled
EmpoweredMinions.EnemyBuff.MaxHealthMultiplier, 1.0 					; 100% increased max health
EmpoweredMinions.EnemyBuff.OutgoingDamageScale, 1.5						; 100% increased damage
EmpoweredMinions.EnemyBuff.KillscoreScale, 3.0							; 3 times more killscore than their normal amount
EmpoweredMinions.MinionKilledBuff.Duration, 40.0
EmpoweredMinions.MinionKilledBuff.HasteIncrease, 0.20
EmpoweredMinions.MinionKilledBuff.PassiveMoveSpeedIncrease, 0.20
EmpoweredMinions.HeroKilledMinionBuff.MaxHealthAndMainStatMultiplier, 1.00	; old and disabled 
StoneSkin.EnemyBuff.MaxHealthMultiplier, 0.30		        ; 30% bonus health - capped to MaxModifierDifficultyScaleLimit
StoneSkin.Explosion.Radius, 800.0				
StoneSkin.Explosion.Dot.Duration, 6.0
StoneSkin.Explosion.Dot.Period, 1.0
StoneSkin.Explosion.Dot.MaxHealthAsTickDamage, 0.025		; 15% over 6 ticks
StoneSkin.PlayerBuff.PhysicalIncomingDamageMultiplier, 1.00	;  - disabled
Carnage.DebuffDot.DotDamagePercentage, 0.06	; %-age of *TEAM* damage taken is set as the dot damage
Carnage.DebuffDot.TickPeriod, 1.5
Carnage.DebuffDot.OutOfCombatMultiplier, 1.00 	; multiplier is applied when out of combat (optional; if we want to reduce it)
Carnage.DebuffDot.RemoveAtHealthThreshold, 0.9
Carnage.Buff.AddedLifeSteal, 0.10
Carnage.Buff.AddedBonusPerBossKill, 0.025
Challenge.HeroBuff.SpiritIncrease," 0.10		             				; ""Challenge"" - is now a curse"
Challenge.EnemyBoost.HealthScaler," 1.10                               	; ""Challenge"" - is now a curse"
Challenge.EnemyBoost.DamageScaler," 1.10                               	; ""Challenge"" - is now a curse"
Ultimatum.BossBoost.HeroBuff.CooldownReductionIncrease," 0.10            ; ""Ultimatum"" - is now a curse"
Ultimatum.BossBoost.HealthScaler," 1.10                                 	; ""Ultimatum"" - is now a curse"
Ultimatum.BossBoost.DamageScaler," 1.05                                 	; ""Ultimatum"" - is now a curse"
Shadowlord.NumOrbsForLordSpawn, 30.0						; amount of orbs that need to be picked up (these will spawn across the CompletePercentageForSpawn)
Shadowlord.NumLords.Dungeon, 3								; every 33.3% worth of dungeon score should spawn NumOrbsForLordSpawn orbs (gives 1 lord)
