name,value
GemBonus.Overcap.BonusMultiplier, 0.00005   ; every 2 gem overcap grants a fraction extra primary attribute + stamina multiplier
GemBonus.PrimaryAttributeBonusWhenHealthy.Small, 1.03															;RUBY TIER 1		Primary Attribute Bonus when Healthy			Small
GemBonus.StaminaAndPrimaryAttributeBonus.Small.StaminaIncrease, 140.0											;RUBY TIER 2		Stamina & Main Flat Boost						Small
GemBonus.StaminaAndPrimaryAttributeBonus.Small.PrimaryAttributeIncrease, 15.0
GemBonus.HealthRegenBonusInCombat.Small.HealthRegenFactor, 0.007												;RUBY TIER 3		Passive Health Regen in combat					Small
GemBonus.HealthRegenBonusInCombat.Small.HealthRegenPeriod, 2.0
GemBonus.MaxHealthPercentageBonus.Small.MaxHealthScaler, 1.04													;RUBY TIER 4		Max Health percentage boost						Small
GemBonus.DamageHealingAsborbBonusInBossBattle.Small.Scaler, 1.05												;RUBY TIER 5		Damage Healing Absorb bonus in boss fights		Small
GemBonus.PrimaryAttributeBonusWhenHealthy.Medium, 1.09															;RUBY TIER 6		Primary Attribute Bonus when Healthy			Medium
GemBonus.StaminaAndPrimaryAttributeBonus.Medium.StaminaIncrease, 420.0											;RUBY TIER 7		Stamina & Main Stat Boost						Medium
GemBonus.StaminaAndPrimaryAttributeBonus.Medium.PrimaryAttributeIncrease, 45.0
GemBonus.HealthRegenBonusInCombat.Medium.HealthRegenFactor, 0.021												;RUBY TIER 8		Passive Health Regen in combat					Medium
GemBonus.HealthRegenBonusInCombat.Medium.HealthRegenPeriod, 2.0
GemBonus.MaxHealthPercentageBonus.Medium.MaxHealthScaler, 1.12													;RUBY TIER 9		Health percentage								Medium
GemBonus.DamageHealingAsborbBonusInBossBattle.Medium.Scaler, 1.15												;RUBY TIER 10		Damage Healing Absorb bonus in boss fights		Medium
GemBonus.CriticalChanceBonusAgainstHealthyTarget.Small.CriticalChancePercentageIncrease, 0.05					;AMETHYST TIER 1 	Crit Chance against healthy target				Small
GemBonus.StaminaAndCriticalBonus.Small.StaminaIncrease, 100.0													;AMETHYST TIER 2	Stamina & Crit stat Boost						Small
GemBonus.StaminaAndCriticalBonus.Small.CritRatingIncrease, 100.0
GemBonus.HoTOnTouchedTargetDeath.Duration, 18.0																	;AMETHYST TIER 3	Reapers Reprieve								Base
GemBonus.HoTOnTouchedTargetDeath.Period, 1.5	
GemBonus.HoTOnTouchedTargetDeath.Small.HealPercentagePerTick, 0.01																													Small 
GemBonus.CriticalStrikePercentageBonus.Small.CriticalStrikeScaler, 0.03											;AMETHYST TIER 4	Crit percentage 								Small
GemBonus.CriticalPowerPercentageBonus.Small.CriticalStrikeScaler, 1.03											;AMETHYST TIER 5	Crit Strike Power 								Small
GemBonus.CriticalChanceBonusAgainstHealthyTarget.Medium.CriticalChancePercentageIncrease, 0.15					;AMETHYST TIER 6 	Crit Chance against healthy target				Medium
GemBonus.StaminaAndCriticalBonus.Medium.StaminaIncrease, 300.0													;AMETHYST TIER 7	Stamina & Crit stat Boost						Medium
GemBonus.StaminaAndCriticalBonus.Medium.CritRatingIncrease, 300.0
GemBonus.HoTOnTouchedTargetDeath.Medium.HealPercentagePerTick, 0.03											;AMETHYST TIER 8	Reapers Reprieve II								Medium
GemBonus.CriticalStrikePercentageBonus.Medium.CriticalStrikeScaler, 0.09										;AMETHYST TIER 9	Crit percentage 								Medium
GemBonus.CriticalPowerPercentageBonus.Medium.CriticalStrikeScaler, 1.09											;AMETHYST TIER 10	Crit Strike Power 								Medium
GemBonus.HastePercentageBonusWhenTargettingUnhealthyTargets.Small.HastePercentageIncrease, 0.03					;TOPAZ TIER 1		Haste proc when dmg or heal low					Small
GemBonus.HastePercentageBonusWhenTargettingUnhealthyTargets.Small.Duration, 10.0
GemBonus.StaminaAndHasteBonus.Small.StaminaIncrease, 100.0														;TOPAZ TIER 2		Stamina & Haste stat Boost						Small
