name,value
Trait.IncreasedStaminaToHealthConversion.Multiplier, 1.04
Trait.StandingStillHealStacking.MaxStacks, 10.0
Trait.StandingStillHealStacking.TickInterval, 1.0
Trait.StandingStillHealStacking.StackToHealMultiplier, 0.50
Trait.StandingStillHealStacking.MaxDistanceToLowestHealthTarget, 3000.0
Trait.IncomingDamageToHotAndAbsorb.ChancePPM, 0.8
Trait.IncomingDamageToHotAndAbsorb.Hot.FlatHealValue, 1.65
Trait.IncomingDamageToHotAndAbsorb.Hot.Duration, 6.0
Trait.IncomingDamageToHotAndAbsorb.Hot.TickInterval, 2.0
Trait.IncomingDamageToHotAndAbsorb.Absorb.Duration, 12.0
Trait.IncomingDamageToHotAndAbsorb.Absorb.FlatAbsorbValue, 4.80
Trait.IncomingDamageToHotAndAbsorb.Absorb.MaxRange, 4000.0
Trait.IncomingDamageToDefenceAndDamage.Duration, 10.0
Trait.IncomingDamageToDefenceAndDamage.PPM, 1.4
Trait.IncomingDamageToDefenceAndDamage.FlatArmorValue, 1.20
Trait.IncomingDamageToDefenceAndDamage.FlatDamageValue, 0.34
Trait.NoDamageToDamageReduction.MaxStacks, 5.0
Trait.NoDamageToDamageReduction.AdditionalDamageReductionPerStack, 0.98
Trait.NoDamageToDamageReduction.SecondsBetweenStackIncrease, 10.0
Trait.IncomingHealToStackingHealWithThreshold.HealValue, 2.17
Trait.IncomingHealToStackingHealWithThreshold.PPM, 2.6
Trait.IncomingHealToStackingHealWithThreshold.MaxHealthThreshold, 0.50
Trait.FirstIncomingHitToReducedIncomingDamageBuff.Buff.Duration, 20.0
Trait.FirstIncomingHitToReducedIncomingDamageBuff.Buff.IncomingDamageMultiplier, 0.94
Trait.RelicToDamageReduction.Buff.Duration, 12.0
Trait.RelicToDamageReduction.Buff.DamageReductionMultiplier, 0.85
Trait.ExtraDotHotOnEffectApplicationProc.PPM, 2.1
Trait.ExtraDotHotOnEffectApplicationProc.Dot.FlatDamageValue, 0.92
Trait.ExtraDotHotOnEffectApplicationProc.Dot.Period, 1.5
Trait.ExtraDotHotOnEffectApplicationProc.Dot.MaxStackCount, 1.0
Trait.ExtraDotHotOnEffectApplicationProc.Dot.Duration, 9.0
Trait.ExtraDotHotOnEffectApplicationProc.Hot.FlatHealValue, 0.92
Trait.ExtraDotHotOnEffectApplicationProc.Hot.Period, 1.5
Trait.ExtraDotHotOnEffectApplicationProc.Hot.MaxStackCount, 1.0
Trait.ExtraDotHotOnEffectApplicationProc.Hot.Duration, 9.0
Trait.IncreasedMainStatAndSpiritRating.AdditionalSpiritRating, 59.0
Trait.IncreasedMainStatAndSpiritRating.Buff.MainStatAdd, 1.03
Trait.IncreasedMainStatAndSpiritRating.Buff.Duration, 4.0
Trait.CritsToIncreasedCritRating.RequiredNumOfCrits, 20.0
Trait.CritsToIncreasedCritRating.CooldownDuration, 12.0
Trait.CritsToIncreasedCritRating.Buff.Duration, 12.0
Trait.CritsToIncreasedCritRating.Buff.AdditionalCritRating, 112.0
Trait.CommitToHasteRatingAndWeaponCooldown.ChancePPM, 1.2
Trait.CommitToHasteRatingAndWeaponCooldown.AdditionalAllies, 1.0
Trait.CommitToHasteRatingAndWeaponCooldown.WeaponAbilityCooldownReductionInSeconds, 2.0
Trait.CommitToHasteRatingAndWeaponCooldown.Buff.Duration, 8.0
Trait.CommitToHasteRatingAndWeaponCooldown.Buff.AdditionalHasteRating, 85.0
Trait.OffensiveAbilityHasteRatingStacking.Duration, 8.0
Trait.OffensiveAbilityHasteRatingStacking.MaxStacks, 5.0
Trait.OffensiveAbilityHasteRatingStacking.AdditionalHasteRating, 20.0
Trait.StandingStillStaminaExpertiseRatingIncrease.ApplicationDelay, 3.0
Trait.StandingStillStaminaExpertiseRatingIncrease.RemovalDelay, 6.0
Trait.StandingStillStaminaExpertiseRatingIncrease.Buff.StaminaMultiplier, 1.05
Trait.StandingStillStaminaExpertiseRatingIncrease.Buff.AdditionalExpertiseRating, 71
Trait.CritsToIncreasedPrimaryStatBuff.ChancePPM, 2.0
Trait.CritsToIncreasedPrimaryStatBuff.MaxHealthThreshold, 0.5
Trait.CritsToIncreasedPrimaryStatBuff.Buff.Duration, 6.0
Trait.CritsToIncreasedPrimaryStatBuff.Buff.AdditionalPrimaryStat, 1.04
Trait.CritsToIncreasedPrimaryStatBuff.Hot.Duration, 6.0
Trait.CritsToIncreasedPrimaryStatBuff.Hot.TickInterval, 1.5
Trait.CritsToIncreasedPrimaryStatBuff.Hot.HealValue, 1.44
