name,guid,unknown
CharacterID.Hero.Bowguy,2,0
CharacterID.Hero.Brimborn,3,0
CharacterID.Hero.DebugHero1,4,0
CharacterID.Hero.DebugHero2,5,0
CharacterID.Hero.DebugHero3,6,0
CharacterID.Hero.Firemage,7,0
CharacterID.Hero.Grim,8,0
CharacterID.Hero.Gunde,9,0
CharacterID.Hero.Ink,10,0
CharacterID.Hero.Mara,11,0
CharacterID.Hero.Mara.Cat,12,0
CharacterID.Hero.Meiko,13,0
CharacterID.Hero.Mosse,14,0
CharacterID.Hero.Quetzal,15,0
CharacterID.Hero.Racket,16,0
CharacterID.Hero.Rime,17,0
CharacterID.Hero.Rime.Tutorial,18,0
CharacterID.Hero.SelectionDummy,19,0
CharacterID.Hero.Vigor,20,0
CharacterID.Hero.Vigor.Tutorial,21,0
CharacterID.Hero.Warmaster,22,0
CharacterID.Hero.Warmaster.Tutorial,23,0
CharacterID.Hero.Lisa,24,0
CharacterID.Hero.Sune,25,0
