name,guid,unknown
ItemID.Currency.BHAM,2,0
ItemID.Currency.BSCL,3,0
ItemID.Currency.Chip,4,0
ItemID.Currency.CosmicThread,5,0
ItemID.Currency.EpicWeaponReroll,6,0
ItemID.Currency.FHAM,7,0
ItemID.Currency.FSCL,8,0
ItemID.Currency.GHAM,9,0
ItemID.Currency.GSCL,10,0
ItemID.Currency.LegendaryGemReroll,11,0
ItemID.Currency.LegendaryItemReroll,12,0
ItemID.Currency.LegendaryWeaponReroll,13,0
ItemID.Currency.MATS,14,0
ItemID.Currency.PMAG,15,0
ItemID.Currency.RareWeaponReroll,16,0
ItemID.Currency.StarToken,17,0
ItemID.Currency.TalentPoint,18,0
ItemID.Currency.UncommonWeaponReroll,19,0
ItemID.GemType,20,0
ItemID.GemType.Amethyst,21,0
ItemID.GemType.Amethyst.Tier1,22,0
ItemID.GemType.Amethyst.Tier2,23,0
ItemID.GemType.Amethyst.Tier3,24,0
ItemID.GemType.Amethyst.Tier4,25,0
ItemID.GemType.Diamond,26,0
ItemID.GemType.Diamond.Tier1,27,0
ItemID.GemType.Diamond.Tier2,28,0
ItemID.GemType.Diamond.Tier3,29,0
ItemID.GemType.Diamond.Tier4,30,0
ItemID.GemType.Emerald,31,0
ItemID.GemType.Emerald.Tier1,32,0
ItemID.GemType.Emerald.Tier2,33,0
ItemID.GemType.Emerald.Tier3,34,0
ItemID.GemType.Emerald.Tier4,35,0
ItemID.GemType.Invalid,36,0
ItemID.GemType.Ruby,37,0
ItemID.GemType.Ruby.Tier1,38,0
ItemID.GemType.Ruby.Tier2,39,0
ItemID.GemType.Ruby.Tier3,40,0
ItemID.GemType.Ruby.Tier4,41,0
ItemID.GemType.Sapphire,42,0
ItemID.GemType.Sapphire.Tier1,43,0
ItemID.GemType.Sapphire.Tier2,44,0
ItemID.GemType.Sapphire.Tier3,45,0
ItemID.GemType.Sapphire.Tier4,46,0
ItemID.GemType.Topaz,47,0
ItemID.GemType.Topaz.Tier1,48,0
ItemID.GemType.Topaz.Tier2,49,0
ItemID.GemType.Topaz.Tier3,50,0
ItemID.GemType.Topaz.Tier4,51,0
ItemID.HeroItem,52,0
ItemID.HeroItem.Ardeos_CC_Chest,53,0
ItemID.HeroItem.Ardeos_CC_Feet,54,0
ItemID.HeroItem.Ardeos_CC_Finger,55,0
ItemID.HeroItem.Ardeos_CC_Legs,56,0
ItemID.HeroItem.Ardeos_CC_Neck,57,0
ItemID.HeroItem.Ardeos_CC_Wrists,58,0
ItemID.HeroItem.Ardeos_ES_Finger,59,0
ItemID.HeroItem.Ardeos_ES_Head,60,0
ItemID.HeroItem.Ardeos_ES_Legs,61,0
ItemID.HeroItem.Ardeos_ES_Neck,62,0
ItemID.HeroItem.Ardeos_ES_Shoulders,63,0
ItemID.HeroItem.Ardeos_ES_Wrists,64,0
ItemID.HeroItem.Ardeos_MF_Finger,65,0
ItemID.HeroItem.Ardeos_MF_Hands,66,0
ItemID.HeroItem.Ardeos_MF_Head,67,0
ItemID.HeroItem.Ardeos_MF_Legs,68,0
ItemID.HeroItem.Ardeos_MF_Neck,69,0
ItemID.HeroItem.Ardeos_MF_Wrists,70,0
ItemID.HeroItem.Ardeos_SA_Back,71,0
ItemID.HeroItem.Ardeos_SA_Chest,72,0
ItemID.HeroItem.Ardeos_SA_Finger,73,0
ItemID.HeroItem.Ardeos_SA_Hands,74,0
ItemID.HeroItem.Ardeos_SA_Neck,75,0
ItemID.HeroItem.Ardeos_SA_Shoulders,76,0
ItemID.HeroItem.Ardeos_SF_Chest,77,0
ItemID.HeroItem.Ardeos_SF_Feet,78,0
ItemID.HeroItem.Ardeos_SF_Finger,79,0
ItemID.HeroItem.Ardeos_SF_Hands,80,0
ItemID.HeroItem.Ardeos_SF_Shoulders,81,0
ItemID.HeroItem.Ardeos_SF_Wrists,82,0
ItemID.HeroItem.Ardeos_ST_Back,83,0
ItemID.HeroItem.Ardeos_ST_Feet,84,0
ItemID.HeroItem.Ardeos_ST_Finger,85,0
ItemID.HeroItem.Ardeos_ST_Head,86,0
ItemID.HeroItem.Ardeos_ST_Legs,87,0
ItemID.HeroItem.Ardeos_ST_Neck,88,0
ItemID.HeroItem.Ardeos_SW_Back,89,0
ItemID.HeroItem.Ardeos_SW_Feet,90,0
ItemID.HeroItem.Ardeos_SW_Finger,91,0
ItemID.HeroItem.Ardeos_SW_Head,92,0
ItemID.HeroItem.Ardeos_SW_Legs,93,0
ItemID.HeroItem.Ardeos_SW_Shoulders,94,0
ItemID.HeroItem.Ardeos_TW_Back,95,0
ItemID.HeroItem.Ardeos_TW_Chest,96,0
ItemID.HeroItem.Ardeos_TW_Feet,97,0
ItemID.HeroItem.Ardeos_TW_Finger,98,0
ItemID.HeroItem.Ardeos_TW_Hands,99,0
ItemID.HeroItem.Ardeos_TW_Head,100,0
ItemID.HeroItem.Ardeos_Weapon_1,101,0
ItemID.HeroItem.Ardeos_Weapon_2,102,0
ItemID.HeroItem.Ardeos_Weapon_3,103,0
ItemID.HeroItem.Ardeos_Weapon_4,104,0
ItemID.HeroItem.BackBowguyDefault_1,105,0
ItemID.HeroItem.BackGundeDefault_1,106,0
ItemID.HeroItem.BackHelenaDefault_1,107,0
ItemID.HeroItem.BackMaraDefault_1,108,0
ItemID.HeroItem.BackVigourDefault_1,109,0
ItemID.HeroItem.BattleRes_Relic_Agility,110,0
ItemID.HeroItem.BattleRes_Relic_Intellect,111,0
ItemID.HeroItem.BattleRes_Relic_Strength,112,0
ItemID.HeroItem.BowGuy_CC_Back,113,0
ItemID.HeroItem.BowGuy_CC_Finger,114,0
ItemID.HeroItem.BowGuy_CC_Hands,115,0
ItemID.HeroItem.BowGuy_CC_Head,116,0
ItemID.HeroItem.BowGuy_CC_Legs,117,0
ItemID.HeroItem.BowGuy_CC_Neck,118,0
ItemID.HeroItem.BowGuy_ES_Back,119,0
ItemID.HeroItem.BowGuy_ES_Feet,120,0
ItemID.HeroItem.BowGuy_ES_Finger,121,0
ItemID.HeroItem.BowGuy_ES_Hands,122,0
ItemID.HeroItem.BowGuy_ES_Head,123,0
ItemID.HeroItem.BowGuy_ES_Legs,124,0
ItemID.HeroItem.BowGuy_MF_Back,125,0
ItemID.HeroItem.BowGuy_MF_Finger,126,0
ItemID.HeroItem.BowGuy_MF_Head,127,0
ItemID.HeroItem.BowGuy_MF_Legs,128,0
ItemID.HeroItem.BowGuy_MF_Neck,129,0
ItemID.HeroItem.BowGuy_MF_Shoulders,130,0
ItemID.HeroItem.BowGuy_SA_Chest,131,0
ItemID.HeroItem.BowGuy_SA_Feet,132,0
ItemID.HeroItem.BowGuy_SA_Finger,133,0
ItemID.HeroItem.BowGuy_SA_Hands,134,0
ItemID.HeroItem.BowGuy_SA_Head,135,0
ItemID.HeroItem.BowGuy_SA_Wrists,136,0
ItemID.HeroItem.BowGuy_SF_Back,137,0
ItemID.HeroItem.BowGuy_SF_Chest,138,0
ItemID.HeroItem.BowGuy_SF_Finger,139,0
ItemID.HeroItem.BowGuy_SF_Hands,140,0
ItemID.HeroItem.BowGuy_SF_Head,141,0
ItemID.HeroItem.BowGuy_SF_Neck,142,0
ItemID.HeroItem.BowGuy_ST_Back,143,0
ItemID.HeroItem.BowGuy_ST_Chest,144,0
ItemID.HeroItem.BowGuy_ST_Feet,145,0
ItemID.HeroItem.BowGuy_ST_Finger,146,0
ItemID.HeroItem.BowGuy_ST_Legs,147,0
ItemID.HeroItem.BowGuy_ST_Shoulders,148,0
ItemID.HeroItem.BowGuy_SW_Chest,149,0
ItemID.HeroItem.BowGuy_SW_Finger,150,0
ItemID.HeroItem.BowGuy_SW_Hands,151,0
ItemID.HeroItem.BowGuy_SW_Neck,152,0
ItemID.HeroItem.BowGuy_SW_Shoulders,153,0
ItemID.HeroItem.BowGuy_SW_Wrists,154,0
ItemID.HeroItem.BowGuy_TW_Feet,155,0
ItemID.HeroItem.BowGuy_TW_Finger,156,0
ItemID.HeroItem.BowGuy_TW_Legs,157,0
ItemID.HeroItem.BowGuy_TW_Neck,158,0
ItemID.HeroItem.BowGuy_TW_Shoulders,159,0
ItemID.HeroItem.BowGuy_TW_Wrists,160,0
ItemID.HeroItem.Bowguy_Weapon_1,161,0
ItemID.HeroItem.Bowguy_Weapon_2,162,0
ItemID.HeroItem.Bowguy_Weapon_3,163,0
ItemID.HeroItem.Bowguy_Weapon_4,164,0
ItemID.HeroItem.ChestArdeosDefault_1,165,0
ItemID.HeroItem.ChestBowguyDefault_1,166,0
ItemID.HeroItem.ChestGundeDefault_1,167,0
ItemID.HeroItem.ChestHelenaDefault_1,168,0
ItemID.HeroItem.ChestMaraDefault_1,169,0
ItemID.HeroItem.ChestMeikoDefault_1,170,0
ItemID.HeroItem.ChestRimeDefault_1,171,0
ItemID.HeroItem.ChestSylvieDefault_1,172,0
ItemID.HeroItem.ChestTariqDefault_1,173,0
ItemID.HeroItem.ChestVigourDefault_1,174,0
ItemID.HeroItem.DamageReduction_Relic_Agility,175,0
ItemID.HeroItem.DamageReduction_Relic_Strength,176,0
ItemID.HeroItem.Dispel_Relic_Intellect,177,0
ItemID.HeroItem.FeetArdeosDefault_1,178,0
ItemID.HeroItem.FeetBowguyDefault_1,179,0
ItemID.HeroItem.FeetGundeDefault_1,180,0
ItemID.HeroItem.FeetHelenaDefault_1,181,0
ItemID.HeroItem.FeetMaraDefault_1,182,0
ItemID.HeroItem.FeetRimeDefault_1,183,0
ItemID.HeroItem.FeetSylvieDefault_1,184,0
ItemID.HeroItem.FeetTariqDefault_1,185,0
ItemID.HeroItem.FeetVigourDefault_1,186,0
ItemID.HeroItem.Gunde_CC_Back,187,0
ItemID.HeroItem.Gunde_CC_Finger,188,0
ItemID.HeroItem.Gunde_CC_Hands,189,0
ItemID.HeroItem.Gunde_CC_Head,190,0
ItemID.HeroItem.Gunde_CC_Legs,191,0
ItemID.HeroItem.Gunde_CC_Neck,192,0
ItemID.HeroItem.Gunde_ES_Back,193,0
ItemID.HeroItem.Gunde_ES_Feet,194,0
ItemID.HeroItem.Gunde_ES_Finger,195,0
ItemID.HeroItem.Gunde_ES_Hands,196,0
ItemID.HeroItem.Gunde_ES_Head,197,0
ItemID.HeroItem.Gunde_ES_Legs,198,0
ItemID.HeroItem.Gunde_MF_Back,199,0
ItemID.HeroItem.Gunde_MF_Finger,200,0
ItemID.HeroItem.Gunde_MF_Head,201,0
ItemID.HeroItem.Gunde_MF_Legs,202,0
ItemID.HeroItem.Gunde_MF_Neck,203,0
