name,guid,unknown
T_Map_UndeadBattlefield_Start,2,0
T_Map_UndeadBattlefield_Mid,3,0
T_Map_UndeadBattlefield_End,4,0
T_Map_Stronghold_Global,5,0
T_Map_Demonicritual_Start,6,0
T_Map_Demonicritual_UpperFloor,7,0
T_Map_Demonicritual_End,8,0
T_Map_Demonicritual_LowerFloor,9,0
T_Map_PirateRaid_Lower,10,0
T_Map_PirateRaid_Upper,11,0
T_Map_PirateRaid_Ship,12,0
T_Map_PirateRaid_JungleArea,13,0
T_Map_CrystalMines_Start,14,0
T_Map_CrystalMines_Mid,15,0
T_Map_CrystalMines_End,16,0
T_Map_VV_Market,17,0
T_VikingVillage_Church,18,0
T_VikingVillage_Lower,19,0
T_Map_NightPatrol,20,0
RT_Map_NightPatrol_02_Tex,21,0
T_Map_IceCave_StartArea,22,0
T_Map_IceCave_Ending,23,0
T_Map_ShipGraveyard_01,24,0
RT_Map_JourneyToStronghold_Global_Tex,25,0
T_Map_MythicForest_Global,26,0
T_Map_DesertDunes_Start,27,0
T_Map_DesertDunes_End,28,0
T_Map_UrrakMarkets_Global,29,0
T_Map_SF_01,30,0
T_Map_SF_Lair,31,0
T_Map_EM_Global,32,0
T_Map_Nightpatrol_02,33,0
T_DungeonMap_FM_Global,34,0
